Department,Topic,Sub_Topic,question_name,question_url,question_answer,document
Daphne Cockwell Scholl of Nursing,Graduate,Current Students,How do I appeal a grade?,https://www.torontomu.ca/nursing/graduate/student-resources/graduate-faqs/#accordion-content-1602696766603-how-do-i-appeal-a-grade-,YSGS Policies and Guidelines,"How do I appeal a grade?
YSGS Policies and Guidelines"
Future Students,Undergraduate,Admissions,I'm a current/previous TMU applicant or undergraduate degree student. Do I need to upload my transcripts and supporting documents?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692908317734-i-m-a-current-previous-tmu-applicant-or-undergraduate-degree-student--do-i-need-to-upload-my-transcripts-and-supporting-documents-,"You're not required to submit official transcripts again if they're already on file and complete. If you've enrolled in more courses, submit a new/updated official transcript. TMU grades will be obtained internally.

Note: your ChooseTMU Applicant Portal may not reflect documents submitted in a previous year. A new supplementary form may be submitted to support your current application.","I'm a current/previous TMU applicant or undergraduate degree student. Do I need to upload my transcripts and supporting documents?
You're not required to submit official transcripts again if they're already on file and complete. If you've enrolled in more courses, submit a new/updated official transcript. TMU grades will be obtained internally.

Note: your ChooseTMU Applicant Portal may not reflect documents submitted in a previous year. A new supplementary form may be submitted to support your current application."
Ted Rogers School of Management,Fit for Business,Fit for Business,How do I pay for tuition for business management program?,https://www.torontomu.ca/tedrogersschool/fit-for-business/faqs/#accordion-content-1681315858888-how-do-i-pay-for-tuition-,"Your undergraduate tuition and fees are paid through online banking for domestic students. Visit How to Pay your Tuition and Fees for more information.

You can check your outstanding fees on your Student Center in MyServiceHub. Do keep in mind that your fees may change if you are still adding or dropping courses. Visit Student Fees for more information.

Tuition for Chang School courses is due upon enrolment. The Chang School has different drop/enrollment dates, and refund schedules from undergraduate classes, so please make sure you keep on top of these dates.","How do I pay for tuition for business management program?
Your undergraduate tuition and fees are paid through online banking for domestic students. Visit How to Pay your Tuition and Fees for more information.

You can check your outstanding fees on your Student Center in MyServiceHub. Do keep in mind that your fees may change if you are still adding or dropping courses. Visit Student Fees for more information.

Tuition for Chang School courses is due upon enrolment. The Chang School has different drop/enrollment dates, and refund schedules from undergraduate classes, so please make sure you keep on top of these dates."
School of Social Work,Graduate,Master of Social Work,Who will my supervisor be for Master of Social Work program?,https://www.torontomu.ca/social-work/graduate/faqs/#accordion-content-1607370805701-who-will-my-supervisor-be-,Your supervisor will be assigned to you by the graduate program director. We will contact you in September to inform you of who your supervisor will be.,"Who will my supervisor be for Master of Social Work program?
Your supervisor will be assigned to you by the graduate program director. We will contact you in September to inform you of who your supervisor will be."
Ted Rogers School of Management,Business Management,Future Students,What Majors are offered at the Ted Rogers School Of Business Management?,https://www.torontomu.ca/tedrogersschool/business-management/faqs/#accordion-content-1551209654380-what-majors-are-offered-at-the-ted-rogers-school-of-business-management--,"Your selected major will appear on your degree and transcript. Students enrolled in the School of Business Management can choose to major in one of the subject areas below:

Economics & Management Science
Entrepreneurship
Global Management Studies
Human Resources Management
Law and Business
Marketing Management
Real Estate Management
Accounting and Finance is no longer being offered as a major within the School of Business Management. Students interested in majoring in Accounting or Finance must apply directly to the School of Accounting and Finance","What Majors are offered at the Ted Rogers School Of Business Management?
Your selected major will appear on your degree and transcript. Students enrolled in the School of Business Management can choose to major in one of the subject areas below:

Economics & Management Science
Entrepreneurship
Global Management Studies
Human Resources Management
Law and Business
Marketing Management
Real Estate Management
Accounting and Finance is no longer being offered as a major within the School of Business Management. Students interested in majoring in Accounting or Finance must apply directly to the School of Accounting and Finance"
Ted Rogers School of Management,Business Management,Future Students,What will first year at School Of Business Management be like?,https://www.torontomu.ca/tedrogersschool/business-management/faqs/#accordion-content-1551209719007-what-will-first-year-at-school-of-business-management-be-like--,"Your selected major will appear on your degree and transcript. Students enrolled in the School of Business Management can choose to major in one of the subject areas below:

Economics & Management Science
Entrepreneurship
Global Management Studies
Human Resources Management
Law and Business
Marketing Management
Real Estate Management
Accounting and Finance is no longer being offered as a major within the School of Business Management. Students interested in majoring in Accounting or Finance must apply directly to the School of Accounting and Finance","What will first year at School Of Business Management be like?
Your selected major will appear on your degree and transcript. Students enrolled in the School of Business Management can choose to major in one of the subject areas below:

Economics & Management Science
Entrepreneurship
Global Management Studies
Human Resources Management
Law and Business
Marketing Management
Real Estate Management
Accounting and Finance is no longer being offered as a major within the School of Business Management. Students interested in majoring in Accounting or Finance must apply directly to the School of Accounting and Finance"
Future Students,Scholarships and Awards,Scholarships and Awards,How does my referee submit their letter of recommendation?,https://www.torontomu.ca/current-students/scholarships-awards/faq/#accordion-content-1695407017321-how-does-my-referee-submit-their-letter-of-recommendation-,Your referee will receive an email from AwardSpring with a link to upload their letter to AwardSpring.,"How does my referee submit their letter of recommendation?
Your referee will receive an email from AwardSpring with a link to upload their letter to AwardSpring."
Faculty of Engineering & Architectural Science,Architectural Science,Architectural Science,"In what format should my portfolio be, and how do I submit it for Architectural Science program at Toronto Metropolitan University (TMU)?",https://www.torontomu.ca/engineering-architectural-science/future-undergraduate/faqs/#!accordion-1544804190821-architectural-science,Your portfolio must meet the format requirements listed in the Portfolio section on the Architectural Science Programs web page.,"In what format should my portfolio be, and how do I submit it for Architectural Science program at Toronto Metropolitan University (TMU)?
Your portfolio must meet the format requirements listed in the Portfolio section on the Architectural Science Programs web page."
Alumni,Alumni,Next Chapter,What should I do with my Ryerson degree? Can I get one issued by TMU instead?,https://www.torontomu.ca/next-chapter/frequently-asked-questions/#accordion-content-1670005138906-what-should-i-do-with-my-ryerson-degree--can-i-get-one-issued-by-tmu-instead-,"Your hard-earned degree remains an accomplishment to celebrate, and a credential worthy of promotion. Alumni are certainly encouraged to keep and display their old degrees with pride, if they are comfortable doing so. 

The university understands that not all alumni may want to keep their degree issued under our former name. Alumni who wish to have their degree reissued under our new name can do so. This is a service the university has always offered and alumni will continue to have this option now that we have been renamed Toronto Metropolitan University. 

More details on this will be posted to the curriculum advising webpage when available.","What should I do with my Ryerson degree? Can I get one issued by TMU instead?
Your hard-earned degree remains an accomplishment to celebrate, and a credential worthy of promotion. Alumni are certainly encouraged to keep and display their old degrees with pride, if they are comfortable doing so. 

The university understands that not all alumni may want to keep their degree issued under our former name. Alumni who wish to have their degree reissued under our new name can do so. This is a service the university has always offered and alumni will continue to have this option now that we have been renamed Toronto Metropolitan University. 

More details on this will be posted to the curriculum advising webpage when available."
Computing and Communications Services,Google Workspace,General,"I have gone to my.torontomu.ca and logged in. When I click the ""Manage My Resources..."" I do not have the option to Change my Google Token. What should I do?",https://www.torontomu.ca/google/Archive/faq/faq_general/#accordion-content-1495548980725-i-have-gone-to-my-torontomu-ca-and-logged-in--when-i-click-the--manage-my-resources-----i-do-not-have-the-option-to-change-my-google-token--what-should-i-do-,Your Google Token will be available after your account has been created in Google. Please check back on October 9.,"I have gone to my.torontomu.ca and logged in. When I click the ""Manage My Resources..."" I do not have the option to Change my Google Token. What should I do?
Your Google Token will be available after your account has been created in Google. Please check back on October 9."
