Department,Sub_Department,Topic,question_name,question_url,question_answer
Creative Industries,Future Students,Admissions,What makes studies in Creative Industries at Toronto Metropolitan University unique?,https://www.torontomu.ca/creativeindustries/prospective-students/student-faqs/#accordion-content-1562266209816-what-makes-studies-in-creative-industries-at-toronto-metropolitan-university-unique-,"Our new interdisciplinary B.A. program marks an innovation in Canadian postsecondary education. More than any other postsecondary institution in Canada, Toronto Metropolitan University’s mix of academic programs embraces the broad spectrum of Creative Industries. From publishing and journalism to TV production, fashion, interior design, dance and film, the University’s diverse media, design and artistic programs will contribute their courses and faculty expertise to the delivery of the Creative Industries curriculum. The utilization of these academic resources in combination with the business courses provided by the Ted Rogers School of Management has resulted in a creative curricular design that, unique among Canadian undergraduate programs, studies the creative disciplines from the perspective of enterprise development and entrepreneurship and blends artistic, media and communication, cultural and business studies to prepare students for employment opportunities in today’s creative economy.

The first such program of its kind in Canada or North America, the Creative Industries B.A. program has many novel features, including:

The combination of a B.A. degree with a business specialization.
Creative-content modules: students will complete two 5-course sequences selected from a long list of creative fields: music, publishing, news media, film, performance studies, broadcasting, communication, fashion, curatorial practices, and more
A work placement in a creative company that is integrated into a 4th year “capstone” project
""Imagining the Creative City"" – a unique first-year course that explores how cities embrace and stimulate creativity
""The Creative Process"" - an innovative third-year course exploring how creative ideas happen and how creativity can be fostered in teams and enterprises
Upper level courses focusing on collaboration, teamwork, negotiation and managing creative enterprises"
Creative Industries,Future Students,Admissions,What can I do with a Creative Industries degree?,https://www.torontomu.ca/creativeindustries/prospective-students/student-faqs/#accordion-content-1562266210743-what-can-i-do-with-a-creative-industries-degree-,"The Creative Industries contribute more than 1 million jobs to the Canadian economy and employment in this sector continues to grow and diversify. Your Creative Industries degree incorporating a business specialization will prepare you for a broad range of career opportunities depending on the focus you have chosen for your studies.The operation of creative enterprises has grown increasingly complex in the 21st century due primarily to the impact of information, communication and mobile technologies. Such dramatic change requires new skills, new business models and new global perspectives. In view of these challenges, employers in the private sector, governments, cultural organizations and other non-government organizations are seeking graduates with multi-disciplinary competencies in diverse areas including global marketing and free-trade agreements, government policies and regulation, team management, human resources and intellectual property issues. The educational structure of the Creative Industries program â€“ in which financial and operational aspects on the one hand and creative processes on the other are studied simultaneously and viewed as an inseparable combination -- will prepare you for a highly cross-disciplinary and collaborative work environment that demands a mix of creative, technological and business talents."
Creative Industries,Future Students,Admissions,Will I be able to pursue graduate studies after graduating?,https://www.torontomu.ca/creativeindustries/prospective-students/student-faqs/#accordion-content-1562266211383-will-i-be-able-to-pursue-graduate-studies-after-graduating-,"Yes. Graduates of the program will be well prepared for graduate studies. Depending on your course selection and academic performance, you will be able to advance to a variety of graduate programs at Toronto Metropolitan University or other universities such as those leading to professional degrees in law, business or education or to academic degrees at the masters and doctoral levels. In the event you wish to pursue professional practice as a career you could elect to enroll in a production intensive masters degree in media, design or the fine and performing arts. Toronto Metropolitan University offers a number of such degree programs, including:M.A. in Media Production
M.A. in Fashion
M.J. in Journalism
M.F.A. in Documentary Media
M.P.C. in Professional Communication
M.A. in Photographic Preservation & Collections Management
M.D.M. in Digital Media"
Creative Industries,Future Students,Admissions,What support is offered to me to help me in finding employment after I graduate from Creative Industries?,https://www.torontomu.ca/creativeindustries/prospective-students/student-faqs/#accordion-content-1562266212527-what-support-is-offered-to-me-to-help-me-in-finding-employment-after-i-graduate-,"Toronto Metropolitan University's Career Centre offers a variety of career-related services and events, including Career and Information Fairs; workshops and group sessions on resumes, interviews, and job seeking strategies; and hundreds of job postings. These services together with your work placement experience will improve your prospects for employment after graduation.Given that Ontario has the third-largest creative sector in North America and that Toronto accounts for 25% of national employment in the Creative Industries, Toronto Metropolitan University's location in the downtown core of the GTA will be an asset as you commence your search for that first job."
Creative Industries,Future Students,Admissions,How long is the Creative Industries program?,https://www.torontomu.ca/creativeindustries/prospective-students/student-faqs/#accordion-content-1562266243591-how-long-is-the-creative-industries-program-,The B.A. degree program requires four years of full-time study.
Creative Industries,Future Students,Admissions,Who teaches the professional courses in the  from Creative Industries program?,https://www.torontomu.ca/creativeindustries/prospective-students/student-faqs/#accordion-content-1562266241351-who-teaches-the-professional-courses-in-the-program-,"These courses are taught primarily by full-time Toronto Metropolitan University faculty members who have extensive knowledge and expertise in their fields. Your professors will be experienced, high-quality teachers and active researchers who maintain strong ties with their community through scholarly or professional activities. Other courses are taught by part-time faculty who bring their workplace experience as professionals to the classroom. Please see our list of faculty, instructors, and adjuncts."
Creative Industries,Future Students,Admissions,What are the admission requirements for  from Creative Industries program?,https://www.torontomu.ca/creativeindustries/prospective-students/student-faqs/#accordion-content-1562266283110-what-are-the-admission-requirements-,"Click here for admissions information.
(opens in new window)"
Creative Industries,Future Students,Admissions,I'm interested in Creative Industries. What should I do next?,https://www.torontomu.ca/creativeindustries/prospective-students/student-faqs/#accordion-content-1562266283678-i-m-interested-in-creative-industries--what-should-i-do-next-,"First, come for a Toronto Metropolitan University Campus Tour or Discover Toronto Metropolitan University Day. For more information or to register for tours, vist this site
(opens in new window)
. Then, apply
(opens in new window)
to Toronto Metropolitan University!"
Creative Industries,Future Students,Admissions,Are Creative Industries students eligible for overseas study?,https://www.torontomu.ca/creativeindustries/prospective-students/student-faqs/#accordion-content-1562266281927-are-creative-industries-students-eligible-for-overseas-study-,"Yes! As a Creative Industries student you may apply for a semester abroad. Exchange opportunities are awarded on a competitive basis and are subject to space limitations. The Creative School currently has a number of exchange agreements with universities in Europe, Asia, Australia and New Zealand. If you're interested in studying abroad, please see our international information
(opens in new window)
."
Creative Industries,Future Students,Admissions,Where are classes held for Creative Industries program?,https://www.torontomu.ca/creativeindustries/prospective-students/student-faqs/#accordion-content-1562266275143-where-are-classes-held-,"All classes will be held on Toronto Metropolitan Universityâ€™s campus, which is located in the heart of downtown Toronto. Most buildings are within a 10 minute walk of each other. Some are linked by underground and overhead walkways for ease of access."
