Department,Sub_Department,Topic,question_name,question_url,question_answer,
Centre of Excellence in Learning and Teaching,Curriculum Quality,Program Learning Outcomes & Program Objectives,Why are Program Learning Outcomes Important?,https://www.torontomu.ca/curriculumquality/resources/learning-outcoms/#accordion-content-1598552572497-why-are-program-learning-outcomes-important--,"For departments and schools, learning outcomes provide a roadmap for curriculum, and a goal post for student achievement. They serve as essential reference points for academic departments to discuss the elements that contribute to an integrated program of study. The Ontario Quality Framework requires programs to be intentional about the choice and development of their program outcomes and to clearly communicate their roadmap for student learning.

For instructors, program learning outcomes provide a broad picture of the program and offer insights into how each course and other program experiences contribute to the development of the knowledge, skills, and values/attitudes expected of their graduates. 

For students, program learning outcomes communicate the skills successful graduates will develop, and the types of knowledge they learn in preparation for employment, further education, and to participate as critically informed citizens. 

For employers, program learning outcomes outline what they can confidently expect from potential employees.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,Program Learning Outcomes & Program Objectives,What is the Difference between Program Goals/Objectives and Program Learning Outcomes?,https://www.torontomu.ca/curriculumquality/resources/learning-outcoms/#accordion-content-1598552595648-what-is-the-difference-between-program-goals-objectives-and-program-learning-outcomes--,"The difference between program objectives or goals and program outcomes is a difference in perspective. Program goals or objectives are part of the planning process. They describe what a program plans or seeks to achieve. The focus is on what is promoted in and delivered by the program (e.g. broad areas of focus or approach(es), learning activities used, and experiences or opportunities offered). Program objectives also help define what makes the program unique and meaningful, and ultimately provide direction and justification for program and course-level curricular decisions.

In contrast, program learning outcomes focus on the skills developed by graduates, outlining the knowledge, skills, and values/attitudes that a graduate will be able to demonstrate. Rather than focus on the material that will be covered or the experiences they’ll have, program learning outcomes focus on how students understand and employ that material and the specific knowledge, skills and attitudes they will be able to demonstrate as a resul",
Centre of Excellence in Learning and Teaching,Curriculum Quality,Program Learning Outcomes & Program Objectives,How are Program Learning Outcomes used at Toronto Metropolitan University?,https://www.torontomu.ca/curriculumquality/resources/learning-outcoms/#accordion-content-1598552612599-how-are-program-learning-outcomes-used-at-toronto-metropolitan-university--,"Program objectives and program learning outcomes are used at Toronto Metropolitan to guide the design and revision of all academic programs.

New Program Development 
All new program development involves developing program objectives, and identifying the skills, knowledge and capabilities of the intended graduate,  which are then refined into intended program learning outcomes. Both the program objectives and the intended program learning outcomes should be developed before planning courses, or laying out the structure for a program. The courses, structures, and course elements should then be designed to provide students with the experiences required to achieve the program’s intended outcomes and to align with the program’s objectives. Otherwise, it can be likened to designing a car by providing superb and highly specialized components first, and leaving it to students to make sense of how they may or may not fit together.

Periodic Program Review (PPR)
The PPR process begins with a thorough review of the program objectives and program learning outcomes. Program objectives are developed or updated to ensure that there are clear and relevant goals guiding what is promoted in and delivered by the program. Program learning outcomes are reviewed and updated to ensure that they are demonstrable and represent the relevant, current, and discipline-specific knowledge, skills, and related attributes expected of program graduates. Mapping courses to the program learning outcomes helps identify where and how outcomes are achieved, and supports the review of how the learning is delivered and assessed in the program.

Major Curriculum Modification(s)
Any major curriculum modification involves mapping the changes to both the Ontario Degree-Level Expectations (DLEs) and the program learning outcomes to ensure that sufficient coverage is achieved or maintained. Mapping the modified curriculum helps to ensure that all changes support students’ achievement of the program learning outcomes, and that there are no resulting gaps or inconsistencies. 

Strong and intentional curricular design at each of these stages ensures learning is thoughtfully integrated and assessed throughout the program so that students can acquire the knowledge, skills, and values/attitudes needed to progress from one year to the next, and to succeed upon graduation.

Backwards design: Once you have determined the knowledge, skills, values and attributes that graduates of your program should have, the next step is to articulate those skills in demonstrable and measurable program learning outcomes. The curriculum is then designed and developed to meet those outcomes. 

Wiggins & McTighe’s Understanding by Design (2005) and “backwards design”",
Centre of Excellence in Learning and Teaching,Curriculum Quality,Program Learning Outcomes & Program Objectives,Who should be involved in the development or revision of Program Learning Outcomes?,https://www.torontomu.ca/curriculumquality/resources/learning-outcoms/#accordion-content-1598552632348-who-should-be-involved-in-the-development-or-revision-of-program-learning-outcomes--,"New program development
Developing program objectives and program learning outcomes for new programs should involve key faculty who will be responsible for delivering the program, and be informed by disciplinary experts, potential employers, and/or others as appropriate to the field. Your Curriculum Specialist will provide support and guidance when developing objectives and learning outcomes for new programs. Please contact us for additional information or support.

Periodic Program Review 
Revising program goals and program learning outcomes for program review should include the core PPR team consisting of faculty members and an administrative assistant. The process will at times involve all faculty members who regularly teach the core components of the program. Academic program delivery requires a collective commitment and shared responsibility. Your Curriculum Specialist will provide support and guidance to the program when reviewing and revising program goals and program learning outcomes for PPR. Please contact us for additional information or support.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,Degree-Level Expectations,What is the difference between DLEs and Program Learning Outcomes?,https://www.torontomu.ca/curriculumquality/resources/degree-level-expects/#!accordion-1598553304958-what-is-the-difference-between-dles-and-program-learning-outcomes--,"Program Learning Outcomes describe the learned body of knowledge, the set of skills, and the attitudes or values that graduates of a specific TMU program will be able to demonstrate.

Degree Level Expectations outline the expected level of intellectual and creative achievement of graduates for a specific credential across the province (Bachelor’s, Master’s, or Doctorate).

Whereas Program Learning Outcomes are unique to each program, DLEs outline requirements for all university degrees in Ontario.  ",
Centre of Excellence in Learning and Teaching,Curriculum Quality,Degree-Level Expectations,When and how are DLEs used?,https://www.torontomu.ca/curriculumquality/resources/degree-level-expects/#!accordion-1598553329992-when-and-how-are-dles-used--,"For quality assurance purposes, DLEs are incorporated into new program designs and into existing program reviews during Periodic Program Review (PPR). All undergraduate and graduate programs must ensure the program design and outcomes meet the established requirements at a specified standard of performance that is consistent with the expectations of the credential.

To illustrate how a new or existing program meets the credential’s DLEs, the program’s learning outcomes (PLOs) are mapped to the Degree-Level Expectations.",
Centre of Excellence in Learning and Teaching,Curriculum Quality,Degree-Level Expectations,How do I map DLEs to PLOs?,https://www.torontomu.ca/curriculumquality/resources/degree-level-expects/#!accordion-1598553345256-how-do-i-map-dles-to-plos-,"The Curriculum Quality team has developed the following templates for mapping DLEs to PLOs to indicate alignment for New Programs and for Periodic Program Review:

o   Mapping Undergraduate Degree-Level Expectations (UDLEs) to PLOs

o   Mapping Graduate Degree-Level Expectations (GDLEs) to PLOs (Masters)

o   Mapping Graduate Degree-Level Expectations (GDLEs) to PLOs (Doctorate)",
Centre of Excellence in Learning and Teaching,Curriculum Quality,Curriculum Mapping,Mapping software:Curriculum Insights(CI),https://www.torontomu.ca/curriculumquality/resources/curriculum-mapping/#!accordion-1598560758519-mapping-software--curriculum-insights--ci-,"At Toronto Metropolitan University, we have developed Curriculum Insights (CI), an easy-to-use online program to help faculty and instructors map their courses to the program’s learning outcomes (PLOs), and generate full curriculum maps.As faculty and instructors map their course(s) to the PLOs, they also map the teaching methods and assessment methods to identify how students learn and are assessed on each outcome. Mapping these methods helps to identify which methods are used most often, and to ensure the delivery and assessment methods support students’ achievement of all program learning outcomes.Our Curriculum Insights mapping program is used to visualize the curriculum and generate a range of curriculum reports. It facilitates PPR and can be used to plan curriculum modifications and to help with accreditation mapping.
",
Centre of Excellence in Learning and Teaching,Curriculum Quality,Curriculum Mapping,What is the point of mapping curriculum?,https://www.torontomu.ca/curriculumquality/resources/curriculum-mapping/#!accordion-1598554122943-what-is-the-point-of-mapping-the-curriculum-,"It is very difficult to get a comprehensive picture of the program curriculum and to see how the specific knowledge, skills, and values build on each other across a complex program. Creating and analyzing a curriculum map reveals patterns that are often otherwise difficult to see, and helps to:

Advance Program Communication
Foster discussion, communication, understanding, and collaboration across the program
Clarify expectations between instructors
Clarify overall program expectations and learning outcome
Strengthen Curriculum Planning and Development
Engage in strategic curriculum planning
Identify strengths, gaps, redundancies, and areas for enhancement
Assess whether the course content, timing, delivery, and assessment align and support the overall goals and learning outcomes
Support Student Learning
Determine whether the course sequencing provides students opportunities to practice and receive feedback on their developing skills
Identify how and whether outcomes can be met in multiple courses/ways",
Centre of Excellence in Learning and Teaching,Curriculum Quality,Curriculum Mapping,Mapping the curriculum for Periodic Program Review(PPR),https://www.torontomu.ca/curriculumquality/resources/curriculum-mapping/#!accordion-1598554137228-mapping-the-curriculum-for-periodic-program-review--ppr--,"A curriculum map is a required component of every PPR self-study. The map offers a comprehensive picture of the program’s curriculum to facilitate a thorough overview and analysis of the program as a whole.

We use the Curriculum Insights (CI) application for program mapping. In addition to generating a comprehensive curriculum map, CI also generates reports that map teaching and assessment methods, for incorporation into the PPR self-study.

Analysing the curriculum map with program instructors helps clarify and unify program expectations, facilitates collaborative planning, and helps the program plan future changes and enhancements to maintain the integrity and coherence of the program. Analysing the program map in light of other PPR data points (e.g. student, alumni, and employer feedback; industry trends, advancements in the field; program advisory council feedback, etc.) also helps to identify and prioritize opportunities for program enhancement.

Contact your Curriculum Specialist for these resources and guidance with curriculum mapping and analysi",
