Department,Sub_Department,Topic,question_name,question_url,question_answer
Office of the General Counsel and Board Secretariat,Privacy,FIPPA,Q1: What do I do if I suspect a privacy breach?,https://www.torontomu.ca/gcbs/what-we-do/access-privacy/resources/fippa-faqs/#accordion-content-1507752320656-q1--what-do-i-do-if-i-suspect-a-privacy-breach-,"A: Toronto Metropolitan University (""TMU"") has a privacy incident notification process."
Office of the General Counsel and Board Secretariat,Privacy,FIPPA,Q2: What IS FIPPA and what are its fundamental principles?,https://www.torontomu.ca/gcbs/what-we-do/access-privacy/resources/fippa-faqs/#accordion-content-1507752321629-q2--what-is-fippa-and-what-are-its-fundamental-principles-,"FIPPA is provincial legislation that has applied to Ontario universities, including Toronto Metropolitan University (""TMU"") since June 10, 2006. FIPPA is composed of two principles of equal weight:  

Transparency: Access to information is an essential value
Privacy: Personal information and privacy must be protected and doing so is integral to the dignity and the integrity of the individual
FIPPA applies to any records in TMU's custody or control. Certain records are excluded from FIPPA including:

Private donations to TMU's archives
Labour relations and employment-related records leading to agreements
Research and teaching materials
Records not in the custody or control of TMU
There are specific exemptions to the obligation to disclose records, for example:

Personal information
Closed meetings
Solicitor-client documents
Economic and other interests of TMU
Third-party information
Advice and recommendations
Danger to health and safety
Publicly-available documents
Law enforcement
Relations with governments
FIPPA contains particular requirements for the collection, use, protection and disclosure of personal information.  Individuals have the right to ask for your own personal information and to request a correction of records containing your own personal information."
Office of the General Counsel and Board Secretariat,Privacy,FIPPA,Q3: Are there any general guiding principles that will help me make appropriate decisions when it comes to freedom of information and privacy?,https://www.torontomu.ca/gcbs/what-we-do/access-privacy/resources/fippa-faqs/#accordion-content-1507752322689-q3--are-there-any-general-guiding-principles-that-will-help-me-make-appropriate-decisions-when-it-comes-to-freedom-of-information-and-privacy-,"FIPPA requires that personal information and privacy must be protected 
When it comes to creating records (including email and paper documents) consider the possibility that what you are writing could be subject to an access request and therefore could be made publicówhat would the impact be on your reputation or TMUís? 
When someone asks you for another personís information, consider whether it is personal information, and if so, donít provide it. 
When you are using, storing, duplicating or destroying personal information, take reasonable steps to secure the information, e.g. password protect, locked file cabinets, confidential shredding, personal and confidential envelopes rather than email, not leaving documents sitting out on a desk where unauthorized people might have access. 
Review your files and emails regularly. If you have documents that you donít need and are under no policy or legal obligation to keep, then destroy them. 
Use common sense and good judgment. If you have specific questions ask your Chair or email the Privacy Officer."
Office of the General Counsel and Board Secretariat,Privacy,FIPPA,Q4: What are some best practices I can follow to minimize security and privacy breaches?,https://www.torontomu.ca/gcbs/what-we-do/access-privacy/resources/fippa-faqs/#accordion-content-1507752323508-q4--what-are-some-best-practices-i-can-follow-to-minimize-security-and-privacy-breaches-," Take the following actions:
Review employee procedures in the Information Protection and Access Policy for Restricted Information
Take Information Security Awareness Training 
If you are collecting, using, and/or storing other individualsí personal information (i.e. students or research subjects)
Always use password-protection 
Password protect your laptop and do not store data on the local drive, use a secure shared drive.
Be extra careful when sharing personal information via email ñ make sure the address is correct and include only the minimal information necessary to complete the task."
Office of the General Counsel and Board Secretariat,Privacy,FIPPA,"Q5: I've lost my laptop and it contained student records, my lectures and some research. What do I do?",https://www.torontomu.ca/gcbs/what-we-do/access-privacy/resources/fippa-faqs/#accordion-content-1507752367992-q5--i-ve-lost-my-laptop-and-it-contained-student-records--my-lectures-and-some-research--what-do-i-do-,"A:    Call security to report at 416.979.5040.  Tell them if your computer contained personal information on the hard drive, whether the machine was password protected and whether the data was encrypted.  

If there was data on the machine that consists of personal information (student grades, assignments, employee records, research containing other individualsí personal information) you are required by university policy to contact the Privacy Officer immediately at fippa@torontomu.ca.  This is a suspected privacy breach.

If the machine was password protected and the personal information data was encrypted this is not a breach and no further action is required.  If you did not use these precautions then you will be involved in notifying all affected individuals about the breach."
Office of the General Counsel and Board Secretariat,Privacy,FIPPA,Q6: Who is responsible when material intended for shredding is involved in a privacy breach?,https://www.torontomu.ca/gcbs/what-we-do/access-privacy/resources/fippa-faqs/#accordion-content-1507752368789-q6--who-is-responsible-when-material-intended-for-shredding-is-involved-in-a-privacy-breach-,"If you are the source, user, or keeper of the record then you are responsible for ensuring the informationís secure return or destruction once you are finished with it ñ think ìcradle to graveî responsibility.

talk to your department to find out about access to a shredder or to arrange for shredding of confidential records through Campus Facilities."
Office of the General Counsel and Board Secretariat,Privacy,FIPPA,Q7: What should I do if I am asked to provide information that I believe is protected under FIPPA?,https://www.torontomu.ca/gcbs/what-we-do/access-privacy/resources/fippa-faqs/#accordion-content-1507752369555-q7--what-should-i-do-if-i-am-asked-to-provide-information-that-i-believe-is-protected-under-fippa-,"A: In general, if you are asked for information that you would normally provide, such as a course syllabus or outline, a reading list, or a copy of an article you should provide that information. You must also provide information that is about the requestor, such as grades on tests and papers. You should not provide a third party with any personal information. You also do not need to provide such things as exam questions, teaching materials or research notes, as these are excluded. If you have a question you may contact TMU‚Äôs Privacy Officer at fippa@torontomu.ca. If you choose not to honour a request for information, the requestor has a right to file a Freedom of Information request. In the latter case, it will be TMU's Privacy Officer, who determines access to the information."
Office of the General Counsel and Board Secretariat,Privacy,FIPPA,Q8: What happens when TMU receives a request under FIPPA for access to information?,https://www.torontomu.ca/gcbs/what-we-do/access-privacy/resources/fippa-faqs/#accordion-content-1507752371974-q8--what-happens-when-tmu-receives-a-request-under-fippa-for-access-to-information-,"A: An access request must be made to TMU's Privacy Officer and requires a $5.00 application fee. The Privacy Officer determines where the requested information is held and will work with the FIPPA contact in that area to find the records requested and to determine if any exclusions or exemptions apply. Fees are charged to the requestor for the time taken to search for and, if appropriate, prepare records for release. If the information is to be given to the requestor, the Privacy Officer redacts any personal information, or other excluded information from the record before it is disclosed."
Office of the General Counsel and Board Secretariat,Privacy,FIPPA,Q9: Can someone use FIPPA to access my professional records created as part of consulting work I do outside my regular employment with the University?,https://www.torontomu.ca/gcbs/what-we-do/access-privacy/resources/fippa-faqs/#accordion-content-1507752372718-q9--can-someone-use-fippa-to-access-my-professional-records-created-as-part-of-consulting-work-i-do-outside-my-regular-employment-with-the-university-,"A: FIPPA applies to records that are in the custody and control of the University. It should not apply to records that are personal to you (including business activities unrelated to the University). However, if you don‚Äôt keep those records separate from your University records, it is possible that confusion could occur as to what is actually the University‚Äôs and what is yours. A best practice is to keep these separate and clearly mark those files that do not belong to the University (e.g. separate file cabinet, separate folders on computer and email)."
Office of the General Counsel and Board Secretariat,Privacy,FIPPA,Q10: What types of student and general records do I need to retain and for how long?,https://www.torontomu.ca/gcbs/what-we-do/access-privacy/resources/fippa-faqs/#accordion-content-1507752431381-q10--what-types-of-student-and-general-records-do-i-need-to-retain-and-for-how-long-,"Transitory Records
The following are considered to be transitory records that can and should be disposed of when no longer needed:
Duplicate stocks of publications, printed literature or blank forms, including those associated with computer-based information systems;
Duplicate records within the same media retained solely for convenient reference or future distribution (examples include branch-wide memos; ""All Staff"" e-mails; notices of holidays, special events or routine administrative matters; and personal desk copies of such items as program studies or committee minutes);
Broadly distributed materials (such as manuals, directives, bulletins and guidelines) used to communicate policies and practices for internal administration (other than original copies kept by the office from which the materials were issued);
Phone messages, personal messages, and records documenting activities such as holiday parties or charitable fund drives unconnected to program functions;
Unsolicited advertising materials;
Publications such as books, journals, magazines, newspapers, newsletters, and published reports which form or will form part of a library's catalogued holdings or are stored within branch libraries or reference shelves;
Publication extracts which have no significant value in documenting how program data was collected or decisions reached, and which have not therefore been integrated within program files;
Temporary working papers such as rough notes or informal drafts that are of no value in documenting data collection or in showing how TMU policies or programs were developed or implemented. (That is, they represent no significant steps in the preparation of a final document, were not reviewed by other persons, do not record program decisions, and do not contain important research or background data.)
Managers should ensure that all transitory items are deleted or destroyed immediately when no longer needed.

Official TMU Records
Official records are distinct from transitory records. Official records serve important business functions, such as supporting program delivery or policy development, or meeting legal, financial and other needs. They may also provide important evidence of institutional decisions and actions. These should only be destroyed in accordance with with TMUís Record Retention Schedule (see Records Management Policy).

Records Containing Personal Information
Anything which has personal information must be retained for a minimum of one year under FIPPA. Personal information includes, but is not limited to: name, home address, home phone number, studentís email address (home or TMU), identifying numbers (e.g. student number, employee number or social insurance number), education history (grades, degrees received, academic misconduct) health history, or opinions about an individual.  Your professional contact information is generally not perceived as personal information (facultyís business phone number, TMU email, business mailing address). See the definition of ìpersonal informationî in the Freedom of Information and Protection of Privacy Act available on the General Counselís Information Access and Privacy website.  

According to TMU's Course Management Policy 166, all student work is to be returned to the student before the end of the academic term.  Final exams and unclaimed assignments are the only type of student work that, under FIPPA, will need to be retained for the one-year period because these are not returned to students.  

You should also retain all documents and correspondence that may be part of the academic or academic conduct appeals process. You are required by the Course Management Policy to submit a copy of your grade sheet to the Department/School."
