Department,Sub_Department,Topic,question_name,question_url,question_answer
Future Students,Graduate and Postdoctoral Studies,Admissions,1. What are the admission requirements?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444267507-1--what-are-the-admission-requirements-,A master’s degree (or equivalent) from a degree-granting institution with a 3.33/4.33 (B+ or equivalent) average and demonstrated research capabilities. Some programs are more competitive than others and require a higher admissions entry. Meeting the minimum academic requirement does not guarantee admission into the program.
Future Students,Graduate and Postdoctoral Studies,Admissions,2. Which program is the best choice for me?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444269278-2--which-program-is-the-best-choice-for-me-,"To help you make that decision, we encourage you to explore our list of graduate programs.
Select a specific program to find out more information about:

Faculty
Length of program
Program curriculum
Facilities"
Future Students,Graduate and Postdoctoral Studies,Admissions,3. How do I apply to a graduate program at Toronto Metropolitan University (formerly Ryerson University)?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444283048-3--how-do-i-apply-to-a-graduate-program-at-toronto-metropolitan-university--formerly-ryerson-university--,You must apply online.
Future Students,Graduate and Postdoctoral Studies,Admissions,"4. If I don’t meet the minimum grade requirement for admission, how can I upgrade?",https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444298749-4--if-i-don-t-meet-the-minimum-grade-requirement-for-admission--how-can-i-upgrade-,We suggest you complete additional university-level courses and obtain a 3.33/4.33 (B+ or higher). Please contact the program for any further details/information regarding this.
Future Students,Graduate and Postdoctoral Studies,Admissions,5. Can I get transfer credits?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444306437-5--can-i-get-transfer-credits-,"Where a candidate has completed appropriate graduate courses at an acceptable level from another academic institution, but has not been granted a degree using those courses, they may be considered in partial fulfillment of Toronto Metropolitan University's graduate degree requirements. Responsibility for assessing the appropriateness of such courses shall rest with the program. Credit for such work shall not exceed fifty percent of the program’s course requirements."
Future Students,Graduate and Postdoctoral Studies,Admissions,6. When should I submit my application?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444313205-6--when-should-i-submit-my-application-,"The online application is available in October for the Fall (September) start, June for the Winter (January) start and September for the Spring (May) start, for programs that admit to these terms.

Application deadlines vary from program to program but it is still best to apply as soon as possible as some programs fill very quickly."
Future Students,Graduate and Postdoctoral Studies,Admissions,7. How much is the application fee?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444318557-7--how-much-is-the-application-fee-,A $110 CAD application fee is required for each application. Application fees for the MBA programs are $150 CAD. This fee is non-refundable.
Future Students,Graduate and Postdoctoral Studies,Admissions,8. Is the application fee refundable?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1600976072696-8--is-the-application-fee-refundable-,"The application fee cannot be waived, refunded or deferred."
Future Students,Graduate and Postdoctoral Studies,Admissions,9. How do I pay the application fee?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444334180-9--how-do-i-pay-the-application-fee-,Applications will not be processed unless the application fee is received. Payment is made at the time of application by credit card.
Future Students,Graduate and Postdoctoral Studies,Admissions,10. I applied last year. Do I have to pay and send all my documents and reference letters again?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444339708-10--i-applied-last-year---do-i-have-to-pay-and-send-all-my-documents-and-reference-letters--again-,"Yes, you will be required to submit a new online application (including fee) and new reference letters. Supporting documentation, such as a resume and statement of interest etc., should be updated to reflect your current activities and interests."
Future Students,Graduate and Postdoctoral Studies,Admissions,"11. Can I apply for more than one program? If so, do I have to pay for each application?",https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444328084-11--can-i-apply-for-more-than-one-program---if-so--do-i-have-to-pay-for-each-application-,"Yes, applicants can apply to a maximum of three programs. You are required to pay the application fee for each application submitted."
Future Students,Graduate and Postdoctoral Studies,Admissions,12. Do I need to take the GMAT and/or GRE?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444345796-12--do-i-need-to-take-the-gmat-and-or-gre-,"The Master of Business Administration and PhD in Management require a Graduate Management Admissions Test (GMAT) or a Graduate Record Examination (GRE) . All official scores should be submitted to the university GMAT code 3QP-56-33, and GRE code 1991."
Future Students,Graduate and Postdoctoral Studies,Admissions,13. Do I need to submit an English Proficiency Test?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444353076-13--do-i-need-to-submit-an-english-proficiency-test-,"If the medium of instruction during your undergraduate education was a language other than English, you will need to submit an English Proficiency Test that meets our minimum requirement. This should be met prior to applying and must be met before an application is reviewed.

If your post-secondary education was in a country whose official language is not English but the medium of instruction was English, you will be required to submit proof such as an English medium letter issued directly by the institution. More information."
Future Students,Graduate and Postdoctoral Studies,Admissions,14. How do I submit my TOEFL score?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444361907-14--how-do-i-submit-my-toefl-score-,Scores should be sent directly from ETS to Institution Code: 0886-02. Official scores are only required if you have been accepted into a program.
Future Students,Graduate and Postdoctoral Studies,Admissions,15. Can I receive a conditional Offer of Admission if my English proficiency score is too low when I apply?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444368619-15--can-i-receive-a-conditional-offer-of-admission-if-my-english-proficiency-score-is-too-low-when-i-apply-,No. We do not offer conditional offers of admission for English proficiency. You must submit a passing test score before your application will be reviewed.
Future Students,Graduate and Postdoctoral Studies,Admissions,16. Should I submit English translation of my transcripts/documents if they are in a language other than English?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444374628-16--should-i-submit-english-translation-of-my-transcripts-documents-if-they-are-in-a-language-other-than-english-,"If your transcripts/documents are in a language other than English, you must provide a notarized English translation. Please note translations do not replace original documentation, both versions must be submitted."
Future Students,Graduate and Postdoctoral Studies,Admissions,17. How do I check the status of my application?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444392458-17--how-do-i-check-the-status-of-my-application-,"Each applicant should receive an automatic email acknowledging their online application and providing instructions on how to create a MyServiceHub account to check their submission of application materials and if any other documents are required.

Make sure to check all junk mail, as emails are sent within 2-3 business days from the time you submit your application payment."
Future Students,Graduate and Postdoctoral Studies,Admissions,18. What is a 'To Do List' and are the listed items received or missing?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444394306-18--what-is-a--to-do-list--and-are-the-listed-items-received-or-missing--,"The ""To-Do List"" is on the right-hand side of your ""Student Centre,"" which can be found by clicking on the MyServiceHub tab at the top of the screen after you log into my.torontomu.ca. Everything has been received if nothing is listed in the ""To-Do"" section.

If your checklist shows ""To-Do"" items, any listed items are still missing. Click on details for more information regarding the documents listed."
Future Students,Graduate and Postdoctoral Studies,Admissions,19. When will I receive a decision?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444997378-19--when-will-i-receive-a-decision-,Generally decisions will be made by programs starting in January and will be ongoing until programs are filled. Offers of admission begin mid-to-late-March and continue throughout the spring and summer.
Future Students,Graduate and Postdoctoral Studies,Admissions,20. How will I know if a program still has space?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444402418-20--how-will-i-know-if-a-program-still-has-space-,"We will continue to accept applications and supporting documentation until the program has filled all available spaces for the term. However, complete applications and eligibility for funding are considered on a rolling basis (program specific, contact program for details)."
Future Students,Graduate and Postdoctoral Studies,Admissions,"21. Now that I have submitted all my documents, what happens next?",https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444409122-21--now-that-i-have-submitted-all-my-documents--what-happens-next-,It takes approximately 2-6 weeks for your application to be evaluated and sent to the program for review. Each program has varying timelines for admissions’ decision making. For more specific information please review the School/Department website and FAQs.
Future Students,Graduate and Postdoctoral Studies,Admissions,22. How can I submit my application?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1478642298145-22--how-can-i-submit-my-application-,All applications and supporting documentation must be submitted electronically through the Applicant Upload portal. No paper based applications will be processed
Future Students,Graduate and Postdoctoral Studies,Admissions,23. Can I mail my application to the Graduate Admissions Office?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1473444417090-23--can-i-mail-my-application-to-the-graduate-admissions-office-,No. Applications received through the mail will not be processed. Applications will be accepted electronically only through the Applicant Upload portal.
Future Students,Graduate and Postdoctoral Studies,Admissions,24. What is an official transcript?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1604352697645-24--what-is-an-official-transcript-,"An official transcript is a document that is normally prepared by an institutions Registrar's office.  Official transcripts are printed on security paper and bear the official seal of the institution. 

This document includes all courses completed, final grades, degrees awarded and other applicable academic information.  "
Future Students,Graduate and Postdoctoral Studies,Admissions,25. How do I accept or decline a wait list offer?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1648059076607-25--how-do-i-accept-or-decline-a-wait-list-offer-,You can find detailed instructions on the MyServiceHub Support: Admissions page.
Future Students,Graduate and Postdoctoral Studies,Admissions,26. How do I accept or decline an offer of admission?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1648059076613-26--how-do-i-accept-or-decline-an-offer-of-admission-,You can find detailed instructions on the MyServiceHub Support: Admissions page.
Future Students,Graduate and Postdoctoral Studies,Admissions,27. My offer was issued with Ryerson University. Can it be re-issued with the new name Toronto Metropolitan University?,https://www.torontomu.ca/graduate/future-students/apply/faq/#accordion-content-1655303541047-27--my-offer-was-issued-with-ryerson-university--can-it-be-re-issued-with-the-new-name-toronto-metropolitan-university-,"In April 2022, the university announced our new name Toronto Metropolitan University, which will be implemented in a phased approach. During this transition period, offers of admission may be issued under the name of Toronto Metropolitan University and Ryerson University, and both should be considered official and equivalent. Offers of Admission will not be reissued."
Future Students,Undergraduate,Admissions,I am having difficulty activating my TMU Online Identity. Can you help?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692906146557-i-am-having-difficulty-activating-my-tmu-online-identity--can-you-help-,"Visit the Online Identity activation form and view the Activation FAQs. If you are still having trouble, complete the activation problem form."
Future Students,Undergraduate,Admissions,I’ve activated my TMU Online Identity but I’ve forgotten my username and/or password. What should I do?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692906225958-i-ve-activated-my-tmu-online-identity-but-i-ve-forgotten-my-username-and-or-password--what-should-i-do-,Visit the login help page for issues related to your username and/or password.
Future Students,Undergraduate,Admissions,How do I know if I already have a TMU Online Identity?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692981707504-how-do-i-know-if-i-already-have-a-tmu-online-identity-,"You already have a TMU Online Identity if you get the following message when you attempt to activate your account: ""Activation is not available as your online identity has already been activated or you are not eligible for activation."""
Future Students,Undergraduate,Admissions,Is TMU registered to receive e-transcripts and other documents via Naviance eDocs/Docufide?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692984096586-is-tmu-registered-to-receive-e-transcripts-and-other-documents-via-naviance-edocs-docufide-,"Yes, TMU is registered to receive e-transcripts via Naviance eDocs/Docufide. We highly recommend that you upload your transcripts even if they will be sent to us via Naviance eDocs/Docufide to make sure your transcripts are attached to your application immediately and to reduce processing time."
Future Students,Undergraduate,Admissions,I can’t upload my documents. What should I do?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692906343057-i-can-t-upload-my-documents--what-should-i-do-,"If you encounter difficulties uploading your documents, submit the upload help form. If you are unable to get a required document, consider having it sent via the OUAC (if eligible) or have the document sent to:

Attn: Undergraduate Admissions 
Toronto Metropolitan University
350 Victoria Street 
Toronto, ON M5B 2K3

Transcripts may also be emailed by a school official (e.g. guidance counsellor, headmaster, etc.) to: studentdocuments@torontomu.ca"
Future Students,Undergraduate,Admissions,How can I upload a new version of a document I already uploaded?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692906486038-how-can-i-upload-a-new-version-of-a-document-i-already-uploaded-,"Submit the
(google form)
upload help form
(external link, opens in new window)
to request an update to your ChooseTMU Applicant Portal. Please allow 48-72 hours for the request to be processed."
Future Students,Undergraduate,Admissions,How can I upload a document that’s not indicated in my ChooseTMU Applicant Portal?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692906568082-how-can-i-upload-a-document-that-s-not-indicated-in-my-choosetmu-applicant-portal-,"Only required documents should be uploaded. If you need to submit supporting documents that are not indicated in your ChooseTMU Applicant Portal, submit the
(google form)
upload help form
(external link, opens in new window)
. Please allow 48-72 hours for the request to be processed."
Future Students,Undergraduate,Admissions,I uploaded the wrong document. It doesn’t match the item indicated in the ChooseTMU Applicant Portal. What should I do?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692906692862-i-uploaded-the-wrong-document--it-doesn-t-match-the-item-indicated-in-the-choosetmu-applicant-portal--what-should-i-do-,"Submit the
(google form)
upload help form
(external link, opens in new window)
for assistance."
Future Students,Undergraduate,Admissions,I uploaded a document but my ChooseTMU Applicant Portal shows that it wasn't received. What do I do?,https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692981831371-i-uploaded-a-document-but-my-choosetmu-applicant-portal-shows-that-it-wasn-t-received--what-do-i-do-,"During busy periods, there may be a delay of up to five to seven business days between when you upload your documents and when they appear as “received” in your ChooseTMU Applicant Portal. System maintenance and downtimes may also keep your documents ""outstanding"" for longer than usual."
Future Students,Undergraduate,Admissions,"How do I know if my uploaded document is clear, legible and acceptable?",https://www.torontomu.ca/admissions/undergraduate/apply/document-submission/faq/#accordion-content-1692982073650-how-do-i-know-if-my-uploaded-document-is-clear--legible-and-acceptable-,"TMU will not be reviewing the image quality of uploaded documents as they arrive. It is your responsibility to preview all documents before uploading them. Please review your file size, image quality, etc."
