Department,Sub_Department,Topic,question_name,question_url,question_answer_1_name,question_answer_2_name,question_answer_3_name
Computing and Communications Services,Google Workspace,Google Mail ,Sign In To Gmail,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497624573688-sign-in-to-gmail,"Go to my.torontomu.ca
(opens in new window)
in any web browser.
Click Log into my.torontomu
You will be prompted by Ryeron's Central Authentication Service (CAS) to log in with your TMU credentials. Log in with your user name and password.
Once logged in, select Applications tab and chose which Google Apps you wish to use.If you chose not to opt-in to use Gmail (students and faculty only), you will still log onto this service the same way explained above to access your apps, but you will not see Gmail.",,
Computing and Communications Services,Google Workspace,Google Mail ,Opt-In For TMU Gmail,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497624607234-opt-in-for-tmu-gmail,"Only certain users, primarily current instructors and students, have the option to not opt into TMU Gmail. If you are a staff member who does not fall into either category, you will be automatically opted into TMU Gmail. As such, you were not prompted to opt-in.",,
Computing and Communications Services,Google Workspace,Google Mail ,Google App Passwords on Web Browsers (e.g. Chrome),https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497625210860-google-app-passwords-on-web-browsers--e-g--chrome-,You you will log in to Google Apps at Toronto Metropolitan University through my.torontomu.ca using your my.torontomu users Id ans password. The only time you will have to set up a different password is if you choose to access your email account using a desktop client (IMAP or POP) or through your mobile device.,,
Computing and Communications Services,Google Workspace,Google Mail ,"Sending, Replying, Attachments, and Printing",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497625376801-sending--replying--attachments--and-printing,"Please see the following
(google doc)
Google Doc
(external link)
(click on the link).",,
Computing and Communications Services,Google Workspace,Google Mail ,"Signatures, Labels, and Filters",https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497625406197-signatures--labels--and-filters,"Please see the following
(google doc)
Google Doc
(external link, opens in new window)
(click on the link).",,
Computing and Communications Services,Google Workspace,Google Mail ,Gmail for Administrative Assistants,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497625450598-gmail-for-administrative-assistants,"Please see the following
(google doc)
Google Doc
(external link, opens in new window)
(click on the link).",,
Computing and Communications Services,Google Workspace,Google Mail ,Generic Account,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497625469550-generic-account,"Please see the following
(google doc)
Google Doc
(external link, opens in new window)
(click on the link).",,
Computing and Communications Services,Google Workspace,Google Mail ,I've heard Gmail search is really powerful. How does it work?,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497625484198-i-ve-heard-gmail-search-is-really-powerful--how-does-it-work-,"To search for messages, type a word that the messages contain. Note, however, that Search matches ""whole words"" only—that is, it doesn't recognize partial or similar matches. For example, if you search for benefits, Search won't find benefit or benef. Also, Search doesn't recognize special search characters, such as square brackets, parentheses, currency symbols, the ampersand, the pound sign, and asterisks.By default, Search doesn't look in your Trash or Spam folders. To search those folders also, click Show search options next to the Search field, and then, in the Search drop-down list, select Mail & Spam & Trash. You can find more information about using Search in the Gmail Help CenterA list of the advanced search operators is available in the Gmail Help Center
(external link)
. You can also print out
(PDF file)
PDF filethis reference sheet
(external link)
.
(external link)
.",,
Computing and Communications Services,Google Workspace,Google Mail ,Web Browsers For Google Apps,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497637207465-web-browsers-for-google-apps,"Google Apps supports the following browsers:Google Chrome
Internet Explorer 9+
Mozilla Firefox 2.0+
Apple Safari 3.0",,
Computing and Communications Services,Google Workspace,Google Mail ,Other System Requirements,https://www.torontomu.ca/google/Archive/faq/faq_mail/#accordion-content-1497637231555-other-system-requirements,"There are no other system requirements. Because Google Apps runs in a web browser, you just need to use a supported browser.",,
