Department,Sub_Department,Topic,question_name,question_url,question_answer
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,1. Iâ€™m a Grade 12 high school student. Can I apply to the Midwifery Education Program?,https://www.torontomu.ca/midwifery/about/frequently-asked-questions/#accordion-content-1605633638256-1--i-m-a-grade-12-high-school-student---can-i-apply-to-the-midwifery-education-program-,"The Midwifery Education Program (MEP) is a competitive limited enrolment program. Over the years, a very few candidates have been successful in gaining admittance directly from high school. High school graduates are encouraged to gain further college or university experience before applying."
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,2. Can I apply to more than one Midwifery Education Program in Ontario?,https://www.torontomu.ca/midwifery/about/frequently-asked-questions/#accordion-content-1605633638307-2--can-i-apply-to-more-than-one-midwifery-education-program-in-ontario--,TMU is part of a consortium with McMaster University for the Midwifery Education Program in the province of Ontario. Applicants can apply to both programs.
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,"3. Iâ€™m a Doula/RMT/RN/Naturopathic Doctor, etc. Will this improve my application?",https://www.torontomu.ca/midwifery/about/frequently-asked-questions/#accordion-content-1605633638340-3--i-m-a-doula-rmt-rn-naturopathic-doctor--etc---will-this-improve-my-application--,"Midwifery is an autonomous profession separate and distinct from nursing and medicine. While some applicants have these types of backgrounds and certification, they are not a requirement to apply to the program, and they do not improve your chances of being accepted into the program. A wide range of life and work experiences, not limited to health care, can be an asset in applying to the program."
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,"4. Iâ€™m a Registered Nurse and have labour and delivery experience, can I apply for the Post-Baccalaureate Program for Health Professionals?",https://www.torontomu.ca/midwifery/about/frequently-asked-questions/#accordion-content-1605633638403-4--i-m-a-registered-nurse-and-have-labour-and-delivery-experience--can-i-apply-for-the-post-baccalaureate-program-for-health-professionals-,More information: Post-Baccalaureate Program for Health Professionals
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,5. Is the Midwifery Education Program offered online?,https://www.torontomu.ca/midwifery/about/frequently-asked-questions/#accordion-content-1605633638450-5--is-the-midwifery-education-program-offered-online-,The program is not available online.
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,6. I am an international student. Can I apply to the Midwifery Education Program?,https://www.torontomu.ca/midwifery/about/frequently-asked-questions/#accordion-content-1605633638486-6--i-am-an-international-student--can-i-apply-to-the-midwifery-education-program-,This program is not available to international students.
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,7. Iâ€™m an internationally trained midwife. Can I apply to the Midwifery Education Program?,https://www.torontomu.ca/midwifery/about/frequently-asked-questions/#accordion-content-1605633638520-7--i-m-an-internationally-trained-midwife---can-i-apply-to-the-midwifery-education-program-,Internationally educated midwives who have not practiced in Canada or attended one of Ontario's Midwifery Education Programs must apply to the College of Midwives of Ontario Orientation and Assessment Pilot Program to meet the requirements for registration to practice in Ontario.
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,1. What is a midwife?,https://www.torontomu.ca/midwifery/admissions/faq/#accordion-content-1605633626984-1--what-is-a-midwife-,"A midwife is a primary health care provider who is legally licensed to give supervision, care and advice to clients during pregnancy, labour and the postpartum period, to conduct deliveries on their own and to care for the newborn child."
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,2. How do midwives in Ontario work?,https://www.torontomu.ca/midwifery/admissions/faq/#accordion-content-1605633627028-2--how-do-midwives-in-ontario-work-,"Midwives usually work in communityÂ­based group practices. They attend births in hospitals, at client's homes, and in birth centres. They provide care throughout pregnancy, labour, birth and up to six weeks postpartum to the client and their baby."
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,3. Do I need to be a nurse before I can become a Midwife?,https://www.torontomu.ca/midwifery/admissions/faq/#accordion-content-1605633627088-3--do-i-need-to-be-a-nurse-before-i-can-become-a-midwife-,"No. Midwifery is an autonomous profession separate and distinct from nursing and medicine. While there are basic skills that are common to all three professions, midwifery has a unique scope of practice and model of care."
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,4. What type of educational background do students who are accepted to the Program typically have?,https://www.torontomu.ca/midwifery/admissions/faq/#accordion-content-1605633627206-4--what-type-of-educational-background-do-students-who-are-accepted-to-the-program-typically-have-,"Midwifery students come from a wide variety of educational backgrounds. Many of them have received previous university undergraduate degrees while others have graduate degrees, college diplomas, or are mature students. Prospective students are strongly recommended to have completed a minimum of one year of university education."
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,5. What are my chances of acceptance into the Program with little or no experience in the health field?,https://www.torontomu.ca/midwifery/admissions/faq/#accordion-content-1605633627244-5--what-are-my-chances-of-acceptance-into-the-program-with-little-or-no-experience-in-the-health-field-,"Past experience may be taken into account during the selection process, but it is by no means a necessary requirement for acceptance into the Program. Applicants are assessed for those qualities that will enable the individual to become a good midwife. Places in the program have been offered to applicants from many different walks of life."
Midwifery Education Program,Midwifery Education Program,Midwifery Education Program,6. What is the earning potential for a Midwife in Ontario?,https://www.torontomu.ca/midwifery/admissions/faq/#accordion-content-1605633627278-6--what-is-the-earning-potential-for-a-midwife-in-ontario-,Please consult the Association of Ontario Midwives for more information.
