Department,Sub_Department,Topic,question_name,question_url,question_answer
Office of the General Counsel and Board Secretariat,Record Management,Record Management,"Q_: My department has old records whose retention has expired, how do I dispose of them?",https://www.torontomu.ca/gcbs/what-we-do/records/records-resources/rm-faqs/#accordion-content-1508249744167-q---my-department-has-old-records-whose-retention-has-expired--how-do-i-dispose-of-them-," Complete a Records Destruction Form listing the records to be destroyed according to the instructions on the second page of the form.  Once the files are listed, have the form approved by a senior authority responsible for the records.  Once approved, put the files in a Confidential Shredding Container if the information contains confidential or sensitive information.   

If you have any questions regarding how to classify records, calculate retention or how to complete the form, email recordsmanagement@torontomu.ca for advice."
Office of the General Counsel and Board Secretariat,Record Management,Record Management,"Q_ : I am leaving my current position, what do I do with my records?",https://www.torontomu.ca/gcbs/what-we-do/records/records-resources/rm-faqs/#accordion-content-1508249822016-q----i-am-leaving-my-current-position--what-do-i-do-with-my-records-,"When you are leaving your position, you should review your records to dispose of all transitory information that your successor will not need.  Remove or dispose of your personal or HR related records, or take them with you.
Electronic records that will be useful for your successor or the department must be retained and should be saved to a departmental or team shared or google drive.

TMU University Records belong to the University."
Office of the General Counsel and Board Secretariat,Record Management,Record Management,"Q_ : I have staff leaving my department, what should I do?",https://www.torontomu.ca/gcbs/what-we-do/records/records-resources/rm-faqs/#accordion-content-1508249870225-q----i-have-staff-leaving-my-department--what-should-i-do-,"A: As part of the exit process, you should review the records that are held by the departing or transferring employee, the review should also include identifying and removing access to information systems when no longer required. Records to be retained should be moved to a shared drive or repository where they can be accessed by other members of the team as required."
Office of the General Counsel and Board Secretariat,Record Management,Record Management,"Q_ : Our department shared drive is a mess, we need to clean it up and reorganize, what should we do?",https://www.torontomu.ca/gcbs/what-we-do/records/records-resources/rm-faqs/#accordion-content-1508249907553-q----our-department-shared-drive-is-a-mess--we-need-to-clean-it-up-and-reorganize--what-should-we-do-,"A: Refer to RM Tip Sheets for disposing of Transitory Records, Getting Started with RM and File Folder Naming Convention advice. For more specific advice contact recordsmanagement@torontomu.ca."
Office of the General Counsel and Board Secretariat,Record Management,Record Management,"Q_ : We are running out of storage space for our paper files, what should we do?",https://www.torontomu.ca/gcbs/what-we-do/records/records-resources/rm-faqs/#accordion-content-1508249942131-q----we-are-running-out-of-storage-space-for-our-paper-files--what-should-we-do-,"Generally, a large proportion of stored records can be destroyed or transferred to of campus storage. 

Refer to Tip Sheet 1 - When beginning a records storage space review project, begin by purging Transitory information, then create a file list or inventory the remaining records including dates, then review the list against the TMU Records Retention Schedule (RRS), applying retention against the dates to see if records are expired or must be retained longer to meet retention, operational, fiscal, audit, historical or other requirements. 

Expired records information should be captured on TMU's Records Destruction Form, while Records designated for transfer to storage should be boxed according the the procedures noted on the Records Transfer Form. 

Contact recordsmanagement@torontomu.ca to find out more about Off-campus Records Storage options"
Office of the General Counsel and Board Secretariat,Record Management,Record Management,Q_ : What are Records Classes?,https://www.torontomu.ca/gcbs/what-we-do/records/records-resources/rm-faqs/#accordion-content-1508250075521-q----what-are-records-classes-,"A: Records Classes are a grouping of like records into series or categories for organizing, storing and managing retention. Retention is applied to a class of records rather than single documents."
Office of the General Counsel and Board Secretariat,Record Management,Record Management,"Q_ : I checked the Records Retention Schedule and couldn't find an appropriate Records Class, what should I do?",https://www.torontomu.ca/gcbs/what-we-do/records/records-resources/rm-faqs/#accordion-content-1508249980728-q----i-checked-the-records-retention-schedule-and-couldn-t-find-an-appropriate-records-class--what-should-i-do-,"A: Contact recordsmanagement@torontomu.ca for advice or to suggest new Records Classes. The Records Retention Schedule (RRS) is designed to be adaptable and flexible. Additions, changes or removals are common as university needs change, legislation or other requirements for retaining or disposing records changes. We maintain an RRS Change Log to document changes to the RRS."
Office of the General Counsel and Board Secretariat,Record Management,Record Management,"Q_ : There are two different Records Classes which make sense for my records, which one should I use?",https://www.torontomu.ca/gcbs/what-we-do/records/records-resources/rm-faqs/#accordion-content-1508250023822-q----there-are-two-different-records-classes-which-make-sense-for-my-records--which-one-should-i-use-," Check to see if your department is identified as the Responsible Office for either of the classes.  If one is more appropriate then use that class, if neither is appropriate then choose the one your department prefers and continue to use that class to remain consistent.  If you are still stuck, contact recordsmanagment@torontomu.ca.

To ensure records are preserved as long as necessary, choose the one with the longer retention.  "
Office of the General Counsel and Board Secretariat,Record Management,Record Management,Q_: Why should I manage records?,https://www.torontomu.ca/gcbs/what-we-do/records/records-resources/rm-faqs/#accordion-content-1508250192508-q---why-should-i-manage-records-,"Faculty and staff have an obligation to maintain records as evidence of university business.  Creating, maintaining and retaining records is the main means for recording decisions, activities, transactions to demonstrate compliance with obligations, legislation and other requirements. 

There are legislative provisions which makes it an offence to destroy records prematurely and in an unsystematic way.  Discovered offences may be reported up to two years after discovery and punishable by fines or damages."
Office of the General Counsel and Board Secretariat,Record Management,Record Management,Q_: Why don't I just keep everything forever?,https://www.torontomu.ca/gcbs/what-we-do/records/records-resources/rm-faqs/#accordion-content-1508250235722-q---why-don-t-i-just-keep-everything-forever-,"There are several risks associated wtih keeping information forever, such as personal information should only be retained as long as is necessary for stated purposes and use, and could be subject to access requests at any time.  In addition, keeping unecessary information longer than needed takes up space, both virtual/electronic and physical, which costs time and money to manage.  For example, keeping legacy information in systems may impact the time it takes to backup and restore information, which is costly even though storage is much more inexpensive.

In addition, if we have it and there is an access request we have to produce it even if it is past due for destruction.  The same principle applies to legal holds.  Destroying records to avoid an access request is a punishable offence under FIPPA."
