Department,Sub_Department,Topic,question_name,question_url,question_answer
Philosophy,Philosophy,Philosophy,Why TMU for philosophy?,https://www.torontomu.ca/philosophy/graduate/frequently-asked-questions/#accordion-content-1611625300130-why-tmu-,"TMU has the only MA program in the GTA that allows you to write a Thesis or a Major Research Paper, so only at Ryerson will you have a chance to explore a topic in real depth. And because ours is a 5-term program, you’ll have more time to work closely with your professors. This means that we will be in a stronger position to support you wherever you decide to go after you finish your degree. Finally, TMU is located in the heart of one of the world’s largest and most cosmopolitan cities, a city with a thriving philosophical culture. There is no better place to study philosophy."
Philosophy,Philosophy,Philosophy,What background do I need for philosophy program?,https://www.torontomu.ca/philosophy/graduate/frequently-asked-questions/#accordion-content-1611625308644-what-background-do-i-need-,"Most of our students have an honours BA in philosophy. Our goal is to accept the best and most promising students that we can. If you are not sure whether you have the right sort of background, just ask our graduate program director.

What areas of philosophy do you specialize in?

Our faculty members work in all areas of philosophy, in both the continental and the analytic tradition. We have special strengths in the philosophy of religion, metaphysics and the philosophy of mind, social and political philosophy, philosophy of language, normative and applied ethics, contemporary continental philosophy, and in aesthetics. Here is a list of our faculty and their research interests."
Philosophy,Philosophy,Philosophy,What areas of philosophy do you specialize in?,https://www.torontomu.ca/philosophy/graduate/frequently-asked-questions/#accordion-content-1622139002534-what-areas-of-philosophy-do-you-specialize-in-,"Our faculty members work in all areas of philosophy, in both the continental and the analytic tradition. We have special strengths in the philosophy of religion, metaphysics and the philosophy of mind, social and political philosophy, philosophy of language, normative and applied ethics, contemporary continental philosophy, and in aesthetics. Here is a list of our faculty and their research interests."
Philosophy,Philosophy,Philosophy,What are the program requirements for philosophy?,https://www.torontomu.ca/philosophy/graduate/frequently-asked-questions/#accordion-content-1611625366294-what-are-the-program-requirements-,"In your first year, you�ll take a required Professional Seminar as well as 5 electives, 2 in the fall and 3 in the winter. Over the summer, you�ll do an Area Reading Requirement, which involves independent but guided research in a core area of philosophy.

In your second year you�ll write either a Major Research Paper (MRP) or a Thesis. If you do an MRP, you�ll also take 2 more electives that year, one each term. If you decide to do a Thesis, then that�s all you will work on in your second year.
 
As per the program�s breadth requirement, you must take at least one course in three of the following four core areas of philosophy: Continental Philosophy, History of Philosophy, Metaphysics & Epistemology, and Value Theory.

Students may follow either a Major Research Paper (MRP) stream or a Thesis stream."
Philosophy,Philosophy,Philosophy,What are the courses and breadth requirements for philosophy?,https://www.torontomu.ca/philosophy/graduate/frequently-asked-questions/#accordion-content-1614027815424-what-are-the-courses-and-breadth-requirements-,"Students pursuing the Major Research Paper stream take seven courses overall, while those in the Thesis stream take five courses.

All students are required to take at least one course in three of the following four core areas of philosophy:  Continental Philosophy, History of Philosophy, Metaphysics & Epistemology, and Value Theory.
 
Approximately the same number of courses in each of the four areas will be offered every year or over a two-year period."
Philosophy,Philosophy,Philosophy,What is the Area Reading Requirement for philosophy?,https://www.torontomu.ca/philosophy/graduate/frequently-asked-questions/#accordion-content-1611625469606-what-is-the-area-reading-requirement-,"During the summer between your first and second year, you will complete the Area Reading Requirement. This is an opportunity to do independent but guided research in a core area of philosophy. The aim is to help you get a running start on the research you�ll need to do for your MRP or Thesis.

Together with the program director and your supervisor, you will create a reading list and a set of questions to guide your research. You will be then required to submit some written work and to discuss your research progress with your supervisor.

You can see some sample area reading lists in the ""Courses and Breadth Requirement"" tab."
Philosophy,Philosophy,Philosophy,What is the difference between a major research paper and a thesis for philosophy?,https://www.torontomu.ca/philosophy/graduate/frequently-asked-questions/#accordion-content-1611625532734-what-is-the-difference-between-a-major-research-paper-and-a-thesis-,"A Major Research Paper (MRP) is usually around 30-40 pages long, roughly modelled on a typical article in a philosophy journal. A Thesis is usually around 120 pages long, roughly modelled on a typical small monograph or book. Both are meant to be original contributions to a current philosophical debate. An oral defence is required for a thesis but not for an MRP.
If you decide to do an MRP, then you have to take an elective each term in your second year. If you decide to do a Thesis, then that is all you have to do in your second year. Both options have positives and negatives. This is an important decision, and we can help you make the decision that is right for you."
Philosophy,Philosophy,Philosophy,How many seminars do you offer every year and what is the typical size for philosophy?,https://www.torontomu.ca/philosophy/graduate/frequently-asked-questions/#accordion-content-1611625563359-how-many-seminars-do-you-offer-every-year-and-what-is-the-typical-size-,"Every fall we offer the Professional Seminar designed especially for our first year MA students. We also offer 8 electives every year, three in the fall and five in the winter. In your first year, you�ll take 2 electives in the fall (out of 3 options) and 3 in the winter (out of 5 options.)

A typical seminar has between 8 and 13 students in it. This means that you�ll have a great opportunity to get to know the other students and your professors, and to have intimate discussions in class."
Philosophy,Philosophy,Philosophy,What is a Professional Seminar for philosophy?,https://www.torontomu.ca/philosophy/graduate/frequently-asked-questions/#accordion-content-1614027648272-what-is-a-professional-seminar-,"In Term 1, students complete the Professional Seminar, a course designed to introduce students to the professional skills needed to succeed in the program and in the general workplace."
Philosophy,Philosophy,Philosophy,When does Masters Research take place for philosophy?,https://www.torontomu.ca/philosophy/graduate/frequently-asked-questions/#accordion-content-1614027749018-when-does-masters-research-take-place-,"In Terms 3 and 4, students conduct independent philosophical research towards the completion, in Term 5, of a Thesis or Major Research Paper."
