Department,Sub_Department,Topic,question_name,question_url,question_answer
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,"What is the difference between the Full-time, Four-year program and the Direct Entry programs?",https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1527883143324-what-is-the-difference-between-the-full-time--four-year-program-and-the-direct-entry-programs-,"Our Full-time, Four-year program is designed for students interested in beginning their career in child and youth care. If you are completely new to this field of study and/or have just completed high school, you must apply for this program.

Our Direct Entry programs support experienced child and youth care workers to advance their careers. You must have completed a three-year child and youth work diploma from an Ontario College of Applied Arts and Technology to apply for Direct Entry. You can choose from the Full-time, Direct Entry program or the Part-time, Direct Entry program. Once accepted, you will begin in year three of the Child and Youth Care degree."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,What is the difference between the two Direct Entry programs?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1527883143334-what-is-the-difference-between-the-two-direct-entry-programs-,"The Direct Entry programs have different requirements for when you can complete them:

Full-time Direct Entry: you will take a full course load and complete the degree in two years
Part-time, Direct Entry: you have up to seven years to complete the degree.  Part-time students may enroll into one to two Child and Youth Care courses per term.  Part-time students interested in enrolling into additional Child and Youth Care courses must wait until after registration is completed by full-time students (open enrollment) before they enroll into additional Child and Youth Care courses to ensure that full-time students are able to register into their Child and Youth Care courses.
Both options offer classroom (daytime and evening) and online course delivery. The Part-time Direct Entry program can be completed entirely online."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,What are the learning formats for the different programs?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1527883143342-what-are-the-learning-formats-for-the-different-programs-,"If you are a student in the Full-time, Four-year program, you will take classes on campus during the day for your first and second years. In your third and fourth years, you can take some classes online. You will also complete two internship experiences.

If you are a student in the Full-time, Direct Entry program or the Part-time, Direct Entry program, you can take classes on campus during the day or evening, or online. The Part-time, Direct Entry program can be completed entirely online. These programs do not include an internship."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,Where can I find a list of Child and Youth Care courses?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1527883143347-where-can-i-find-a-list-of-child-and-youth-care-courses-,"Check the current Undergraduate Calendar for information on Child and Youth Care courses. If you are considering the Full-time, Four-year program, view semesters one through eight. If you are considering one of the Direct Entry programs, please view semesters five through eight."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,What are liberal studies?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1580154062930-what-are-liberal-studies-,"The purpose of liberal studies is to develop your capacity to understand and appraise the social and cultural context in which you will work and live.

Liberal studies broaden your horizons. They enable you to look at the world from a variety of perspectives and to pursue ideas and interests beyond your specific career studies."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,Can I take any of the courses on the liberal studies tables?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1580154063605-can-i-take-any-of-the-courses-on-the-liberal-studies-tables-,"No, there are the following restrictions:

Full-Time, Four-Year Program:

Table A : PSY courses and SOC 103 are not available for credit. Students may take only two Sociology courses for credit
Table B: Psychology courses are not available for credit
Third-Year Direct Entry Program:

Table B: Psychology courses are not available for credit
Child and Youth Care students can take the psychology and sociology courses in the professionally-related table for credit.

Learn more about lower level liberal studies and upper level liberal studies courses."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,I have an extra lower level liberal studies course in the “non-applicable” table of my advisement report. Can this count as an upper level liberal studies course?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1580154064291-i-have-an-extra-lower-level-liberal-studies-course-in-the--non-applicable--table-of-my-advisement-report--can-this-count-as-an-upper-level-liberal-studies-course-,"No. Lower level liberal studies courses are not equivalent to upper level liberal studies courses. They are more introductory in nature, have a shorter written component, and generally give less weight to writing.

You can use upper level liberal studies courses to substitute outstanding lower level liberal studies courses.
"
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,I completed a professionally-related course thinking it was a liberal studies course. What can I do?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1580154066102-i-completed-a-professionally-related-course-thinking-it-was-a-liberal-studies-course--what-can-i-do-,"You can apply to direct your professionally-related course towards the liberal studies requirement by completing the undergraduate degree course exception (substitution/directive) form. Follow the additional instructions on the form.

Each application is processed on a case-by-case basis. There is no guarantee that your request will be approved."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,How can I apply for the Child and Youth Care program?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1580154213888-how-can-i-apply-for-the-child-and-youth-care-program-,"We admit new students each fall, and you can learn more about the application process on the webpage for Child and Youth Care Admissions, which features information on:

Admission requirements
Application deadlines
Submission process
Required documents
Application tracking
If you have any questions about the application process, contact Undergraduate Admissions."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,What is the cost of tuition for the Child and Youth Care program?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1580154214732-what-is-the-cost-of-tuition-for-the-child-and-youth-care-program-,"For information about tuition fees, visit Undergraduate Fees by Program."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,What kind of resources are available to help me pay for my education?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1580154215598-what-kind-of-resources-are-available-to-help-me-pay-for-my-education-,"You can learn about financial aid for students on the Financial Assistance and OSAP web page.

Also check out:
Entrance scholarships
Child and Youth Care scholarships and awards
Faculty of Community Services awards and scholarships
AwardSpring"
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,I wasn’t accepted into the Child and Youth Care program even though I met all the requirements. Why?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1580154216520-i-wasn-t-accepted-into-the-child-and-youth-care-program-even-though-i-met-all-the-requirements--why-,"The Child and Youth Care program is in high demand, so we cannot always offer a space to every qualified candidate. We encourage you to apply again next year and submit your application as early as possible."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,When do 2nd year students complete internship?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1630599789769-when-do-2nd-year-students-complete-internship--,"CYC303 Internship I

2nd-year students - 288 hours, Tuesday, Wednesday & Thursday (Fall or Winter)"
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,When do 4th year students complete Internship?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1630599889483-when-do-4th-year-students-complete-internship-,"CYC60A/B Internship II is a full year course. 

4th-year students - 480 hours, Wednesday, Thursday, and Friday (Fall), and Thursday and Friday in the (Winter)"
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,What paperwork is required for internship?,https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1630599986109-what-paperwork-is-required-for-internship-,"Paperwork Required for Internship:

First Aid/CPR-C
Health & Safety Certificate
Vulnerable Sector check
Health Form & Proof of vaccination depending on your internship
Please note some of our partners are asking for the COVID-19 vaccine, if you completed this please include that in your health form requirements and provide the record on your first day.

All forms can be found on the Internship D2L Community. "
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,"I am a new Full-time Four-Year CYC student, will I be automatically enroled in my first year courses?",https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1658784176981-i-am-a-new-full-time-four-year-cyc-student--will-i-be-automatically-enroled-in-my-first-year-courses-,"New Full-time Four Year CYC students are automatically enroled into their Fall and Winter term required courses in early August (if you were admitted into the first semester of a full-time program and confirmed your Offer of Admission by mid-July). If you are not automatically enroled into your required courses, you must manually enrol into all of your Fall and Winter term courses (required and elective) during your enrolment period. Please see the “Enrol in Courses” section for more details, and the online tutorial to learn how to enrol in courses."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,"I am a new Part-time Direct-Entry CYC student, will I be automatically enroled in my first year courses?",https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1658784448842-i-am-a-new-part-time-direct-entry-cyc-student--will-i-be-automatically-enroled-in-my-first-year-courses-,"For Direct-Entry students in the Part-time program, you are required to enrol into both mandatory and elective courses. Please refer to part-time enrolment instructions on the course enrolment website for your priority enrolment date, deadlines and instructions on how to enrol."
School of Child and Youth Care,Undergraduate,Child and Youth Care Program,"I am a new Full-time Direct-Entry CYC student, will I be automatically enroled in my first year courses?",https://www.torontomu.ca/child-youth-care/undergraduate/faqs/#accordion-content-1658784448847-i-am-a-new-full-time-direct-entry-cyc-student--will-i-be-automatically-enroled-in-my-first-year-courses-,"As a Full-time, Direct-Entry student, you are technically entering into the 3rd year of the program. You are required to enrol into both mandatory and elective courses. Please refer to the 3rd year enrolment instructions on the course enrolment website for your priority enrolment date, deadlines and instructions on how to enrol."
