Department,Sub_Department,Topic,question_name,question_url,question_answer
School of Medicine,School of Medicine,General,Toronto Metropolitan University School of Medicine will be located in Brampton. Why Brampton?,https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1634257789298-toronto-metropolitan-university-school-of-medicine-will-be-located-in-brampton--why-brampton-,"TMU selected Brampton as the location for the School of Medicine because the community is diverse, resilient, innovative and a microcosm of what communities will look like across Canada in the future. 

We are building this medical school with the communities it will serve. Brampton residents, community agencies and health partners have all provided unwavering support in project approvals, planning, and development so we will be ready to welcome our first cohort of medical students and residents in 2025. 

Brampton’s population has increased rapidly and the region’s growth has been shaped by immigration. It is also a region of the province that has been chronically underfunded and has been hit by a higher rate of occurrence of COVID-19.

In addition, Brampton and Toronto Metropolitan University have existing partnerships through several initiatives, including the Cybersecure Catalyst, and Brampton Ventures Zone."
School of Medicine,School of Medicine,General,Where in Brampton will the School of Medicine be located? Why was this location chosen?,https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1676663224234-where-in-brampton-will-the-school-of-medicine-be-located--why-was-this-location-chosen-,"The Bramalea Civic Centre in Brampton-Peel has been selected as the future site of TMU's School of Medicine.

The Bramalea Civic Centre was chosen for its proximity to both the Brampton Civic and Peel Memorial Hospitals as well as its accessibility to municipal transportation, GO transit and highway systems The site is also close to a variety of services and amenities to support the needs and well-being of our students, faculty and staff; it provides ready access to green space and active transportation infrastructure, such as walking and biking trails.

The site also meets the space requirements to build a school of medicine that will require 250,000 square feet for classrooms, offices, research facilities and an integrated health clinic."
School of Medicine,School of Medicine,General,Why is Toronto Metropolitan University interested in a medical school?,https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1634257789345-why-is-toronto-metropolitan-university-interested-in-a-medical-school-,"Toronto Metropolitan University believes it can offer a new approach to medical education in Ontario — one that draws on the university’s commitment to community, diversity and inclusion, and innovation to address the changing needs for health care delivery and practice.

Building on the strength and foundation of deep and broad community and industry partnerships, TMU is ideally situated to shape the future of health care. The university’s new approach to medical education will meet the current pain points in the healthcare system, which have been exacerbated by the global pandemic."
School of Medicine,School of Medicine,General,Does Toronto Metropolitan University have the expertise and academic programming experience needed to open a medical school?,https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1634257789355-does-toronto-metropolitan-university-have-the-expertise-and-academic-programming-experience-needed-to-open-a-medical-school-,"Toronto Metropolitan University is known for its focus on excellence in health across various faculties and departments. For example, the academic programs in areas such as Psychology, Nursing, Social Work, Occupational Health and Safety, Midwifery, Biomedical Engineering, Physics (Medical Physics) and Biology and Chemistry are all major contributors to the university’s regional and national presence in the health field based on their magnitude of research and their undergraduate and graduate enrolments. A new School of Medicine will build on this foundation of excellence and leadership in health education.

TMU is distinctly solutions-oriented, demonstrated through its teaching, research and community partnerships. The university is deeply engaged with Unity Health and with St Michael's Hospital, where its labs in the hospital’s research wing support on-site collaboration between clinical needs and bio-engineering know-how. The Institute of Biomedical Engineering, Science and Technology (iBEST), the Biomedical Zone (BMZ), and the MedTech Talent Accelerator, are examples of successful innovative collaborations. TMU is also home to the National Institute of Ageing and the Healthcare User Experience Lab."
School of Medicine,School of Medicine,General,Is Toronto Metropolitan University partnering with any hospital in Brampton?,https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1634257789360-is-toronto-metropolitan-university-partnering-with-any-hospital-in-brampton-,"William Osler Health System
(external link, opens in new window)
is TMUâ€™s primary hospital partner in providing the clinical learning environment for undergraduate medical education, other health professionalsâ€™ education, residency training and professional development."
School of Medicine,School of Medicine,General,"How will the School of Medicine address equity, diversity and inclusion (EDI)?",https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1634257789365-how-will-the-school-of-medicine-address-equity--diversity-and-inclusion--edi--,"Equity, Diversity and Inclusion (EDI) and Reconciliation will be intentionally infused throughout all facets of the TMU School of Medicine, including:

admissions; 
faculty and staff recruitment; 
educational programming; 
the learning environment; 
curriculum; 
Scholarly, Research and Creative (SRC) activities; 
enterprise; and 
patient, family, and community engagement. 
We will continually foster a culture of inclusion and engagement and advance social justice. The TMU School of Medicine will be the first medical school in Canada founded and intentionally built upon the foundations of social accountability, EDI and Reconciliation. 

To facilitate the integration of EDI into all aspects of the planning and program development process, a School of Medicine EDI Advisory Committee was established to create an EDI Strategy and Action Plan. The resulting plan has also been endorsed by the Academic Program Development Committee 
This work is also guided by the School of Medicine’s Equity, Diversity and Inclusion Values Statement."
School of Medicine,School of Medicine,General,How will the School of Medicine address Truth and Reconciliation?,https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1645723990720-how-will-the-school-of-medicine-address-truth-and-reconciliation-,"A vital component of the Truth and Reconciliation process is public recognition of the tragic and painful history and the ongoing impacts of residential schools.

Our university has been on its own path of Truth and Reconciliation with the work of the Standing Strong Task Force. As a starting point, we draw inspiration from the Truth and Reconciliation Commission’s final report and in particular Calls to Action 18 through 24, which specifically address the need for action for Indigenous health. Of these, Calls to Action 22 through 24 are the most relevant to medical school contexts. In particular, they address the need for Indigenous understandings of health and well-being, a holistic admissions process and the creation of pathway programs for Indigenous learners.

In addition, the Association of Faculties of Medicine of Canada’s Indigenous Working Group has provided a crucial roadmap for the implementation of the Truth and Reconciliation Commission Calls to Action in their Joint Commitment to Action on Indigenous Health. Their report highlights the importance of accountability and of thoughtful, reciprocal relationships with Indigenous communities to advance Reconciliation and Indigenous health.

Both documents serve as an important reminder of the need to form respectful, reciprocal, long-term relationships with Indigenous-led organizations early in the planning process to set the foundation for a meaningful commitment to Action. The university is committed to developing meaningful relationships with Indigenous communities through a co-creation approach to define the terms of the relationship and ensuring accountability mechanisms are in place. We recognize that co-creation is a long-term process of relationship- and trust-building."
School of Medicine,School of Medicine,General,When will the School of Medicine open?,https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1645724037366-when-will-the-school-of-medicine-open-,TMU is looking forward to welcoming its first cohort of future medical doctors in September 2025.
School of Medicine,School of Medicine,General,How will the Brampton campus be connected to the downtown TMU campus?,https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1678895205696-how-will-the-brampton-campus-be-connected-to-the-downtown-tmu-campus---,"TMU is committed to developing a shared culture between both campuses, building on TMU’s strengths in EDI, social justice and research and innovation.
Students and faculty at the medical school will be able to access relevant resources and supports at our downtown campus. The School of Medicine will also ensure that local supports are available, specific to the needs of medical students at the Brampton campus location. 

Building on the School of Medicine's pillar of innovation, the site in Brampton will leverage technology to support students with virtual access in a hybrid environment."
School of Medicine,School of Medicine,General,Will students/faculty/staff of the School of Medicine in Brampton be expected to travel to/from the TMU downtown campus?,https://www.torontomu.ca/school-of-medicine/frequently-asked-questions/#accordion-content-1678895205701-will-students-faculty-staff-of-the-school-of-medicine-in-brampton-be-expected-to-travel-to-from-the-tmu-downtown-campus-,"Students in the undergraduate Doctor of Medicine (MD) program will be based in Brampton and their classroom, clinical and experiential learning will be primarily focused on affiliated partners in Brampton, Peel, Etobicoke and affiliated community sites.

Building on the School of Medicine's pillar of innovation, the site in Brampton will leverage technology to support students with virtual access in a hybrid environment."
