Department,Sub_Department,Topic,question_name,question_url,question_answer
School of Urban and Regional Planning,Urban Development,Program Information,Is urban planning a suitable profession for me?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279588399-is-urban-planning-a-suitable-profession-for-me-,"Check out the Canadian Institute of Planners (CIP) website for an excellent introduction to urban planning
(external link)
. The Ontario Professional Planners Institute website also has helpful resources about the profession of urban planning
(external link)
."
School of Urban and Regional Planning,Urban Development,Program Information,Is the  urban planning program right for me?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279588418-is-the-program-right--for-me-,"We encourage all applicants to become thoroughly familiar with the Toronto Met Urban Development (MPl) program before applying. To help you learn more about our program, we recommend that you: Attend our admissions open house. If you are unable to attend in person, then you can watch the webcast online.
Register for one of our monthly Virtual Information Sessions.
Review our curriculum - Two Year Stream and One Year Stream.
Learn more about our faculty."
School of Urban and Regional Planning,Urban Development,Program Information,Is  urban planning available on a part-time basis?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279588437-is-it-available-on-a-part-time-basis-,"No, the Urban Development (MPl) program is only available on a full-time basis."
School of Urban and Regional Planning,Urban Development,Program Information,Is  urban planning accredited by CIP?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279588456-is-it-accredited-by-cip-,"Yes, the Toronto Met Urban Development (MPl) program is accredited by the Canadian Institute of Planners."
School of Urban and Regional Planning,Urban Development,Program Information,For  urban planning program what funding is available?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279588475-what-funding-is-available-,"There are a number of internal and external funding opportunities that can support you to pursue graduate studies. These include scholarships, awards, bursaries, assistantships and more.
Please note that some scholarships, such as the Ontario Graduate Scholarship, are extremely competitive."
School of Urban and Regional Planning,Urban Development,Program Information,How much does it cost for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279588493-how-much-does-it-cost-,"The fees for the program change every year but are typically around $3,500 per term. There are three terms per year; five terms in total for the two-year stream and three terms in total for the one-year stream."
School of Urban and Regional Planning,Urban Development,Program Information,What is the typical class and studio size for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279588512-what-is-the-typical-class-and-studio-size-,"Required courses typically consist of 30 students, while elective courses consist of 25 to 30 students. In studio, students tend to work in groups of five or six."
School of Urban and Regional Planning,Urban Development,Program Information,Do I need to arrange my own internship for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279588531-do-i-need-to-arrange-my-own-internship-,"Students can pursue self-arranged placements with agencies of their choice or select from a list of internally arranged placements that are secured and matched by the School of Urban and Regional Planning. Internally arranged placements are secured in a variety of environments ranging from public sector (municipalities, regions), private (development companies, consultants), and not-for profit agencies."
School of Urban and Regional Planning,Urban Development,Program Information,Will I get paid for the internship for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279588575-will-i-get-paid-for-the-internship--,Some internships are paid and some are unpaid – it depends on the host/internship position.
School of Urban and Regional Planning,Urban Development,Program Information,How long is the internship for  urban planning program?,https://www.torontomu.ca/school-of-urban-and-regional-planning/graduate/admissions/faqs/#accordion-content-1605279588594-how-long-is-the-internship-,Internships are typically six weeks long. Some may be longer.
