Department,Sub_Department,Topic,question_name,question_url,question_answer
 Budget,2024-25,Funding and Special Projects,How is Toronto Metropolitan University funded?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1548986510015-how-is-toronto-metropolitan-university-funded-,"More than 90 per cent of our operating revenues are related to enrolment. Approximately 56 per cent of our operating budget comes from tuition fees, 36 per cent from grants, and 8 per cent from other income-generating activities."
 Budget,2024-26,Funding and Special Projects,What are Toronto Metropolitan Universityâ€™s main expenses?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1548986520586-what-are-toronto-metropolitan-university-s-main-expenses-,"The majority of our expenditures are for academic and student support operations, with remaining funds supporting activities such as building maintenance, campus computing and technological services, research services, and administrative functions.

Nearly three-quarters of our operating expenditures are for salaries and benefits. The majority of these costs are determined by negotiated collective agreements with our three main unions: the Toronto Metropolitan Faculty Association (TFA), the Ontario Public Service Employees Union (OPSEU), and the Canadian Union of Public Employees (CUPE)."
 Budget,2024-27,Funding and Special Projects,Will the university experience any funding reductions this year?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1581354010363-will-the-university-experience-any-funding-reductions-this-year-,"In November 2023, Ontario’s Blue-Ribbon Panel on Postsecondary Education Financial Sustainability recommended an increase of 5 per cent in tuition fees for 2024-25 (8 per cent for professional programs), with additional annual increases in future years. The panel also recommended an increase of 10 per cent in the government core operating grant along with annual increases in future years.  

As of late January 2024, the government has not formally announced a decision about the recommendations of the Blue-Ribbon Panel. 

In 2019-20, the Government of Ontario required universities to reduce domestic tuition fees by 10 per cent relative to 2018-19 levels. This brought fees back to approximately 2015-16 levels. Fees have remained frozen at that reduced level. Forgoing a tuition increase for even one year has a cumulative impact that will last for years to come. In every year following the freeze, any increases will be based on a lower tuition amount, meaning there will be a continued gap between inflation and incremental revenue. Fees for international enrolment and cost-recovery programming, activity not supported with government grants, are not subject to this policy.

At the same time, there is uncertainty about how the recent federal decision to limit the number of international student study permits will be implemented, and what it will mean for international enrolment at TMU.

Toronto Metropolitan University will continue ongoing conversations with our sector partners and take part in discussions with the Ministry regarding guidelines and implementation details. In tandem, Toronto Metropolitan University will continue to develop contingency plans and options to address potential revenue loss."
 Budget,2024-28,Funding and Special Projects,Will planned capital projects be affected by changes in funding/anticipated budget cuts?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1550799619461-will-planned-capital-projects-be-affected-by-changes-in-funding-anticipated-budget-cuts-,"The university receives funding for capital projects from sources such as special, one-time government infrastructure allocations or from donations, and the funds are earmarked for specific building projects. Funds for capital projects are one-time only and are not part of the universityâ€™s base budget, which funds ongoing expenditures. Capital projects are therefore not affected by base budget reductions, and deferring capital projects will not result in base savings to the university."
 Budget,2024-29,Funding and Special Projects,How will the Academic Plan influence where money is spent across the university?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1581354235521-how-will-the-academic-plan-influence-where-money-is-spent-across-the-university-,"Toronto Metropolitan University’s Academic Plan 2020-25 incorporates extensive feedback from students, faculty, and staff. Budget planning and resource allocations are directly tied to the following five priorities, which will guide the direction of the university:

The Student Experience;
Scholarly, Research, and Creative Activity and Graduate Studies;
Advancing Indigenous Initiatives;
Innovation: Continuing to Challenge the Status Quo; and
Community and Urban Partnerships.
Toronto Metropolitan University has also undertaken broad internal and external consultations on a range of foundational strategies that will help guide and shape our institution. A developing blueprint, these five complementary plans (including the Academic Plan) articulate our academic and strategic directions:
"
 Budget,2024-30,Funding and Special Projects,Why canâ€™t fundraising revenues be used to avoid budget cuts?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1556502707159-why-can-t-fundraising-revenues-be-used-to-avoid-budget-cuts-,"Donations tend to be directed to support designated student bursaries, short-term initiatives or specific projects, rather than being available for general operating purposes.

For permanent staff positions and long-term commitments (e.g., maintenance of buildings, utilities), the university cannot rely on short-term donations or other one-time-only funds such as short-term grants or contracts."
 Budget,2024-31,Funding and Special Projects,How will the Strategic Mandate Agreement (SMA) affect our funding?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1557152381161-how-will-the-strategic-mandate-agreement--sma--affect-our-funding-,"Strategic Mandate Agreements (SMAs) are established through negotiations with the Ministry of Colleges and Universities that provide universities and colleges with an opportunity to communicate priorities, identify areas of institutional strength/focus, and set performance metrics. Toronto Metropolitan University and the Ministry signed the 2020-2025 Strategic Mandate Agreement on August 31, 2020.

A portion of the university’s funding is tied to performance on metrics as of 2023-24. 

Toronto Metropolitan University successfully completed the Ministry’s SMA3 Year 3 Annual Evaluation in 2023, and is currently participating in the Ministry’s SMA3 Year 4 Annual Evaluation process (from November 27, 2023 to March 15, 2024) which continues data collection and analysis, assesses 2023-24 performance, and sets targets for 2024-25. TMU does not anticipate significant financial risks associated with SMA metric performance in 2024-25."
 Budget,2024-32,Funding and Special Projects,Has Toronto Metropolitan University considered external partnerships (outside of government) to diversify our revenue streams?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1617220972323-has-toronto-metropolitan-university-considered-external-partnerships--outside-of-government--to-diversify-our-revenue-streams-,"Yes, for example, there is a long-term strategic partnership between Toronto Metropolitan University and Navitas. The cornerstone of this partnership, known as Toronto Metropolitan University International College (TMUIC)
(external link)
, launched in Winter 2021. It is a new, additional pathway program for international students designed to ease the transition to a Canadian university environment and to prepare them for academic success. The partnership will accelerate TMUâ€™s internationalization goals by growing and diversifying its international student population and enhancing Toronto Metropolitan Universityâ€™s global reach."
 Budget,2024-33,Funding and Special Projects,Why is the university opening a new School of Medicine at this time?,https://www.torontomu.ca/budget/FAQ/#accordion-content-1617220981374-why-is-the-university-opening-a-new-school-of-medicine-at-this-time-,"The expectation is that the ongoing activities related to this initiative will be supported by new, incremental revenue that is not related to our current enrolment. The Government of Ontario announced its support for the school of medicine, including funding for 94 undergraduate and 105 postgraduate seats that are resourced separately from TMU’s existing enrolment. The City of Brampton donated an existing building along with funds to support renovations to establish the physical site for the school, and TMU is working with the Federal and Provincial governments and private donors to seek additional funding to support capital development.

Ontario is facing a shortage of primary care physicians who are unevenly distributed across communities, contributing to growing unmet care needs. For example, Brampton is one of Canada’s most culturally diverse and fastest-growing cities. In spite of this dynamism, its residents experience significant challenges with access to appropriate, high-quality primary care.  TMU has the opportunity to engage with the Brampton community and the surrounding region to develop a model for health care that can be adopted throughout Ontario and beyond."
 Budget,2024-34,Funding and Special Projects,"What are the financial actuals for last year, and where can a breakdown of the budget be found online?",https://www.torontomu.ca/budget/FAQ/#accordion-content-1617220994001-what-are-the-financial-actuals-for-last-year--and-where-can-a-breakdown-of-the-budget-be-found-online-,"Detailed information, including estimates of annual revenues and expenditures, can be found at the following locations on Toronto Metropolitan Universityâ€™s website:"
