Department,Sub_Department,Topic,question_name,question_url,question_answer
Admissions,Scholarships Awards,Fall 2024 Fall entrance scholarship,1. Can my scholarship increase/decrease in value if my CGPA changes?,https://www.torontomu.ca/admissions/scholarships-awards/entrance-faq/#accordion-content-1592247551718-1--can-my-scholarship-increase-decrease-in-value-if-my-cgpa-changes-,**Annual renewable amount of $500 is only available for scholarship recipients admitted up to and including fall 2021. This amount was discontinued after this time.
Admissions,Scholarships Awards,Fall 2024 Fall entrance scholarship,2. What is a CGPA and how can I see mine?,https://www.torontomu.ca/admissions/scholarships-awards/entrance-faq/#accordion-content-1592247557308-2--what-is-a-cgpa-and-how-can-i-see-mine-,"A CGPA is your cumulative grade point average.

Entrance scholarship renewals assess your CGPA from the end of the most recent winter semester. Your CGPA is the average of all your course grades to date, not individual year, or semester GPAs.

You can see your CGPA at the end of each semester by going to your student centre in MyServiceHub and selecting ""Grades."" Then select the appropriate winter term, and at the top, you will be able to see your cumulative total at the end of that semester."
Admissions,Scholarships Awards,Fall 2024 Fall entrance scholarship,"3. If I do not enrol in my winter term course intentions as of my first year, will I still receive the entrance scholarship?",https://www.torontomu.ca/admissions/scholarships-awards/entrance-faq/#accordion-content-1602859462794-3--if-i-do-not-enrol-in-my-winter-term-course-intentions-as-of-my-first-year--will-i-still-receive-the-entrance-scholarship-,"No. As of your first year, you must be enrolled in an 80% course load (four or more billing units) in both fall and winter terms. Students who withdraw, discontinue their program, reduce their course load, experience a decline in grades below the minimum CGPA requirement, or no longer meet other scholarship/award requirements may forfeit all or part of their award.

The decision is made by the Student Awards and Scholarships Office and is based on the terms of the scholarship. A cancelled scholarship may result in a charge against the student’s university fee account."
Admissions,Scholarships Awards,Fall 2024 Fall entrance scholarship,"4. If I lose my scholarship renewal one year, can I get it back again?",https://www.torontomu.ca/admissions/scholarships-awards/entrance-faq/#accordion-content-1592247558084-4--if-i-lose-my-scholarship-renewal-one-year--can-i-get-it-back-again-,"Yes. Renewals are reviewed independently each year for up to three calendar years after you receive the initial scholarship. If you do not receive it one year, but maintain or increase your CGPA the next, in addition to upholding all other renewal criteria, there is the potential to have it reinstated at the beginning of the next academic year (i.e. September). 

Please note that the loss of a scholarship one year, does not extend the eligibility time frame.
"
Admissions,Scholarships Awards,Fall 2024 Fall entrance scholarship,5. Do I need to do course intentions in order to be considered for my scholarship renewal?,https://www.torontomu.ca/admissions/scholarships-awards/entrance-faq/#accordion-content-1592247558976-5--do-i-need-to-do-course-intentions-in-order-to-be-considered-for-my-scholarship-renewal-,"Yes. When we review student accounts for renewal prior to the start of the fall semester, we review your account for all eligibility conditions at that time, namely:

Appropriate course load for the upcoming academic year (four or more billing units in both fall and winter semesters)
Minimum CGPA of 3.85 as of the prior winter semester. Minimum CGPA of 3.67 for fall 2021, or prior, entrance scholarship recipients
Clear academic standing"
Admissions,Scholarships Awards,Fall 2024 Fall entrance scholarship,6. Why did I not get my renewal?,https://www.torontomu.ca/admissions/scholarships-awards/entrance-faq/#accordion-content-1592247559778-6--why-did-i-not-get-my-renewal-,"If, in early September, you have not received your renewal on MyServiceHub as you would expect, please check that you meet the following criteria:

That you are enrolled in an appropriate course load of 80% or higher (four or more billing units) in both fall and winter.
If you are registered with Academic Accommodation Support and have an approved reduced course load accommodation, please see question 8 on this page, or Section 8.4 of the entrance scholarship terms and conditions for details on how to receive your renewal.
Minimum CGPA of 3.85 from your previous winter semester. Minimum CGPA of 3.67 for fall 2021, or prior, entrance scholarship recipients
Clear academic standing
If you meet all three conditions, and do not have your scholarship renewal, please email awards@torontomu.ca prior to September 27, 2024 for the fall semester and by January 24, 2025 for the winter semester."
Admissions,Scholarships Awards,Fall 2024 Fall entrance scholarship,7. Do I get my scholarship if I am on a co-op work term?,https://www.torontomu.ca/admissions/scholarships-awards/entrance-faq/#accordion-content-1592247560729-7--do-i-get-my-scholarship-if-i-am-on-a-co-op-work-term-,"Scholarships are renewable for three calendar years from the term of admission only, and will be renewed consecutively. Scholarship renewals occur in the fall semester of each academic year and the total value for the year is disbursed evenly between the fall and winter semesters. 

Applicable only to TMU's Guaranteed Entrance and Renewable Scholarships, entrance scholarship renewals may be applied to student accounts in three consecutive fall and winter terms, regardless of when their co-op placements fall. Your most recent winter CGPA will be used in the calculation of the renewal amount.

Participating in a co-op program that extends your studies to five years does not extend your scholarship eligibility by an extra year.
"
Admissions,Scholarships Awards,Fall 2024 Fall entrance scholarship,8. What if I am a student with an accommodation for a reduced course load? Can I still receive my scholarship?,https://www.torontomu.ca/admissions/scholarships-awards/entrance-faq/#accordion-content-1592247561756-8--what-if-i-am-a-student-with-an-accommodation-for-a-reduced-course-load--can-i-still-receive-my-scholarship-,"Yes. If you are registered with TMU’s Academic Accommodation Support, and are required to take a reduced course load (less than 80%, or less than four billing units per term) as part of your academic accommodation plan, you can receive a prorated scholarship value, with an extended eligibility time frame. The CGPA and academic standing requirements will still need to be achieved. 

You will need to self-disclose your reduced course load academic accommodation in confidence to awards@torontomu.ca by September 27, 2024 for the fall semester and by January 24, 2025 for the winter semester (you will need to email us in both semesters as a result of the volume of student accounts we oversee for renewal)."
Admissions,Scholarships Awards,Fall 2024 Fall entrance scholarship,"9. If my CGPA is just shy of the minimum 3.67, can an exception be made for my renewal? Are CGPAs rounded?",https://www.torontomu.ca/admissions/scholarships-awards/entrance-faq/#accordion-content-1592247563529-9--if-my-cgpa-is-just-shy-of-the-minimum-3-67--can-an-exception-be-made-for-my-renewal--are-cgpas-rounded-,"Unfortunately, the CGPA requirement for scholarship renewals is a firm condition. That being said, if you are able to increase your CGPA above the minimum requirement during the next academic year, your account will be reviewed for renewal the next fall.

If you are the recipient of a President’s Entrance Scholarship, and your CGPA falls within 0.25 points of 3.67, you may be granted a probationary scholarship renewal period where you will conditionally receive half your scholarship in the fall semester, with the expectation that you will increase your CGPA above a 3.67 to receive the rest in winter.

Per Senate Policy 170(a), your GPA is rounded up to the next higher second decimal place. For example, a 3.8477 would round to a 3.85."
Admissions,Scholarships Awards,Fall 2024 Fall entrance scholarship,"10. I only got half my scholarship in the fall, what do I do? Can I get my funds all at once?",https://www.torontomu.ca/admissions/scholarships-awards/entrance-faq/#accordion-content-1592247565135-10--i-only-got-half-my-scholarship-in-the-fall--what-do-i-do--can-i-get-my-funds-all-at-once-,"Scholarship amounts are distributed evenly between the fall and winter semesters. We will no longer be distributing the full amount of funds in the fall semester.

As long as you maintain your course load and academic standing for both fall and winter,  you will receive the second half of your renewal shortly after the mid-year winter break.
"
