Department,Sub_Department,Topic,question_name,question_url,question_answer
Giving,Giving,General,How can I update my contact info?,https://www.torontomu.ca/giving/faq/#accordion-content-1579634197013-how-can-i-update-my-contact-info-,"For changes to your name, address, telephone number, or email address please fill out this form.

For any changes to your credit card and/ or other financial information.  Please call 1-866-428-8881 to speak with a representative who will be pleased to help you with that information.

Thank you for helping us keep our records up to date!"
Giving,Giving,General,Where is my money going from the donations?,https://www.torontomu.ca/giving/faq/#accordion-content-1579634200020-where-is-my-money-going-,"You choose where to designate your gift. You can support the faculty, school or program you graduated from, or another area that is important to you. You can direct your donation towards a variety of initiatives, including student financial assistance, the acquisition of equipment and technology, research resources, student travel, or health and wellness support. Every dollar you give goes directly to the area you select.
"
Giving,Giving,General,What will the impact of my gift be?,https://www.torontomu.ca/giving/faq/#accordion-content-1579812786006-what-will-the-impact-of-my-gift-be-,"Your gift will help enhance the experience of our students, and help them realize their potential. By giving to Toronto Metropolitan University you are creating opportunities for students, helping ensure future generations have the skills and training they need to make a positive impact in their communities and in Canada's economy."
Giving,Giving,General,I received a call asking for a donation. How do I know itâ€™s from Toronto Metropolitan University?,https://www.torontomu.ca/giving/faq/#accordion-content-1579634205444-i-received-a-call-asking-for-a-donation--how-do-i-know-it-s-from-toronto-metropolitan-university-,"From time to time you may be contacted by our call centre on behalf of the TMU Student Fund.  Staffed by current students who are employed on a part-time basis, our call centre’s primary goal is to engage Toronto Metropolitan University alumni, parents and friends in meaningful conversations about developments at the university, as well as soliciting support for student awards and bursaries and other university initiatives.  

By making a gift to the university through our calling program, you are not only supporting students, you are playing an important role in helping them develop life experiences and professional skills that will benefit them in their future careers.

Your caller ID should identify calls from our call centre as coming from ‘Toronto Metropolitan University.’  

If you have any questions or feedback about a call you received, please contact annualfund@torontomu.ca"
Giving,Giving,General,How can I find out the latest news and events for alumni?,https://www.torontomu.ca/giving/faq/#accordion-content-1579634211956-how-can-i-find-out-the-latest-news-and-events-for-alumni-,"There are a number of ways Toronto Metropolitan University stays in touch with our alumni. The Toronto Met Alumni Magazine is sent out twice annually to all alumni with a current address on file. Our electronic newsletter, the Toronto Met Connect, is sent out by email 11 times a year to Toronto Metropolitan University alumni, employees and friends with a current email address. Latest news and current events can also be found on the Toronto Metropolitan University alumni website.

You can update your mailing address or email online by completing the update your information form on the TMU alumni website."
Giving,Giving,General,How do I name a seat at the Mattamy Athletic Centre (MAC)?,https://www.torontomu.ca/giving/faq/#accordion-content-1579634219488-how-do-i-name-a-seat-at-the-mattamy-athletic-centre--mac--,"To learn more about naming a seat in the Mattamy Athletic Centre please visit TMU Bold website
(external link)
."
Giving,Giving,Tax Receipting,Are all donations to Toronto Metropolitan University eligible for a tax receipt?,https://www.torontomu.ca/giving/faq/#accordion-content-1579634574739-are-all-donations-to-toronto-metropolitan-university-eligible-for-a-tax-receipt-,"Most donations are eligible for a charitable tax receipt. Donations made via Toronto Metropolitan University’s giving page will be electronically receipted. If you make your gift over the phone or by cheque, you will be issued a hard-copy of the receipt. Please note: tax receipts will only be issued in the name of the credit card holder or cheque signatory.

If you are unsure if your gift is eligible for a tax receipt, please contact:

Sergio Chiodo
416-979-5000, ext. 6516 or toll free at 1-866-428-8881
schiodo@torontomu.ca"
Giving,Giving,Tax Receipting,How can I get a duplicate tax receipt?,https://www.torontomu.ca/giving/faq/#accordion-content-1579634576196-how-can-i-get-a-duplicate-tax-receipt-,"If you require a duplicate or replacement charitable tax receipt, please contact:

Sergio Chiodo
Associate Director, Advancement Services
416-979-5000, ext. 6516 or toll free at 1-866-428-8881
schiodo@torontomu.ca"
Giving,Giving,Tax Receipting,I made a gift on someoneâ€™s behalf using my credit card. Can they still claim it on their taxes?,https://www.torontomu.ca/giving/faq/#accordion-content-1579634581083-i-made-a-gift-on-someone-s-behalf-using-my-credit-card--can-they-still-claim-it-on-their-taxes-,No. CRA regulations require that all tax charitable receipts be issued in the name of the donor whose name appears on the credit card used to make the gift.
Giving,Giving,Recognition of Giving,How will my gift be recognized by the university?,https://www.torontomu.ca/giving/faq/#accordion-content-1579634888049-how-will-my-gift-be-recognized-by-the-university-,Every gift we receive is important to us. All eligible gifts of $10 or more will be acknowledged with a tax receipt and thank you letter.
