Department,Sub_Department,Topic,question_name,question_url,question_answer
Daphne Cockwell Scholl of Nursing,Central Placement Office,Practice Requirement Record,When should I start to work on my PRR?,https://www.torontomu.ca/nursing/central-placement-office/faqs/practice-requirement-record-prr-frequently-asked-questions/#accordion-content-1619622111000-when-should-i-start-to-work-on-my-prr-,"It can take some time to gather and complete all requirements. You should start this process two to three months prior to the noted due date. Medical requirements require students to arrange a visit with their healthcare provider during the summer. This ensures timely completion of the PRR. Similarly, the non-medical requirements are subject to class or appointment availability."
Daphne Cockwell Scholl of Nursing,Central Placement Office,Practice Requirement Record,I am an international student. Are there any other requirements I need to be aware of prior to attending a nursing practice placement?,https://www.torontomu.ca/nursing/central-placement-office/faqs/practice-requirement-record-prr-frequently-asked-questions/#accordion-content-1619624797459-i-am-an-international-student--are-there-any-other-requirements-i-need-to-be-aware-of-prior-to-attending-a-nursing-practice-placement-,"Yes. If you are an international student, you must obtain a free Co-op Work Permit prior to the first day of your placement in Year 1. The Co-op Work Permit must be issued for the same length as your study permit. The application process for a co-op work permit can take at least four months and is free of charge. Please contact the Toronto Metropolitan University International Student Support Office
(opens in new window)
for more information."
Daphne Cockwell Scholl of Nursing,Central Placement Office,Practice Requirement Record,Do I need to submit all documents at the same time? What if a document is missing?,https://www.torontomu.ca/nursing/central-placement-office/faqs/practice-requirement-record-prr-frequently-asked-questions/#accordion-content-1619622132058-do-i-need-to-submit-all-documents-at-the-same-time--what-if-a-document-is-missing-,"Refer to this
(PDF file)
document
(opens in new window)
from Synergy Gateway."
Daphne Cockwell Scholl of Nursing,Central Placement Office,Practice Requirement Record,How often do I have to complete and submit a PRR package while in the Nursing program?,https://www.torontomu.ca/nursing/central-placement-office/faqs/practice-requirement-record-prr-frequently-asked-questions/#accordion-content-1619622141696-how-often-do-i-have-to-complete-and-submit-a-prr-package-while-in-the-nursing-program-,You are expected to complete and submit a PRR package on an annual basis. Specific information for your program can be found on the Forms Page
Daphne Cockwell Scholl of Nursing,Central Placement Office,Practice Requirement Record,Who can complete a PRR?,https://www.torontomu.ca/nursing/central-placement-office/faqs/practice-requirement-record-prr-frequently-asked-questions/#accordion-content-1619622142410-who-can-complete-a-prr-,The PRR consists of two sections: medical requirements and non-medical requirements. The medical requirements (immunization and annual tuberculosis screening information) must be completed and signed by either a physician or your primary care practitioner (such as a nurse practitioner).
Daphne Cockwell Scholl of Nursing,Central Placement Office,Practice Requirement Record,How many appointments will I need to schedule with my primary healthcare provider?,https://www.torontomu.ca/nursing/central-placement-office/faqs/practice-requirement-record-prr-frequently-asked-questions/#accordion-content-1619622143539-how-many-appointments-will-i-need-to-schedule-with-my-primary-healthcare-provider-,"While completing your first PRR, you may need a minimum of two appointments to ensure your immunization requirements are met. However, the number of appointments you need may vary depending on your personal situation. Please note: You will need a yearly appointment for your TB testing and/or flu vaccine while attending nursing practice placements."
Daphne Cockwell Scholl of Nursing,Central Placement Office,Practice Requirement Record,What do I say to my primary healthcare provider and what do I need to bring with me to my appointment?,https://www.torontomu.ca/nursing/central-placement-office/faqs/practice-requirement-record-prr-frequently-asked-questions/#accordion-content-1619624668364-what-do-i-say-to-my-primary-healthcare-provider-and-what-do-i-need-to-bring-with-me-to-my-appointment-,Explain that the Practice Requirement Record is a mandatory requirement for students in the nursing program prior to attending placement. Healthcare providers must include their signature and immunization dates in the designated areas of the form. Make sure to bring the following documents to your appointment:
Daphne Cockwell Scholl of Nursing,Central Placement Office,Practice Requirement Record,What if I donâ€™t have a primary healthcare provider (physician or nurse practitioner)?,https://www.torontomu.ca/nursing/central-placement-office/faqs/practice-requirement-record-prr-frequently-asked-questions/#accordion-content-1619624670707-what-if-i-don-t-have-a-primary-healthcare-provider--physician-or-nurse-practitioner--,The Toronto Metropolitan University Medical Centre is available to support students who do not have a primary healthcare provider to complete their PRRs. Please contact them directly to book an appointment.
Daphne Cockwell Scholl of Nursing,Central Placement Office,Practice Requirement Record,My antibody titres (immunity blood work) has come back indeterminate. What does this mean?,https://www.torontomu.ca/nursing/central-placement-office/faqs/practice-requirement-record-prr-frequently-asked-questions/#accordion-content-1619624695480-my-antibody-titres--immunity-blood-work--has-come-back-indeterminate--what-does-this-mean-,An indeterminate result means that the level of antibody detected is considered borderline reactive or equivocal (neither positive nor negative). You will receive a booster for the specific antibody and be required to follow-up with another titre test. Should the result continue to be indeterminate please inform the Central Placement Office.
Daphne Cockwell Scholl of Nursing,Central Placement Office,Practice Requirement Record,How can I obtain a Vulnerable Sector Screening/Check (VSS) application form?,https://www.torontomu.ca/nursing/central-placement-office/faqs/practice-requirement-record-prr-frequently-asked-questions/#accordion-content-1619624705141-how-can-i-obtain-a-vulnerable-sector-screening-check--vss--application-form-,"The CPO will automatically email all students enrolled in a practice course the Toronto Police form (M-postal code) or a Letter of Request (non-M postal code) to apply for a VSS each semester. Please do not email the CPO requesting for the form or letter. To avoid delays, please ensure your postal code is updated on HSPnet, this is how the CPO determines which document to send you."
Daphne Cockwell Scholl of Nursing,Central Placement Office,Practice Requirement Record,"I have a Vulnerable Sector Screening/Check from work, can I use this for placement?",https://www.torontomu.ca/nursing/central-placement-office/faqs/practice-requirement-record-prr-frequently-asked-questions/#accordion-content-1696967803917-i-have-a-vulnerable-sector-screening-check-from-work--can-i-use-this-for-placement-,No. The purpose of requesting that VSS is for a paid employment and not as a nursing student at an unpaid clinical practice. We will send you a VSS application according to the schedule found on your PRR package.
Daphne Cockwell Scholl of Nursing,Central Placement Office,Practice Requirement Record,How often do I need to apply for a Vulnerable Sector Screening/Check?,https://www.torontomu.ca/nursing/central-placement-office/faqs/practice-requirement-record-prr-frequently-asked-questions/#accordion-content-1619624739876-how-often-do-i-need-to-apply-for-a-vulnerable-sector-screening-check-,"Placement agencies require that a VSS be issued within six months of the start of your placement and be valid for the full duration of your placement. You must request a separate VSS for the fall, winter and spring/summer semesters."
