Department,Sub_Department,Topic,question_name,question_url,question_answer
School of Social Work,Graduate,Master of Social Work,Is the MSW available by part-time or distance education?,https://www.torontomu.ca/social-work/graduate/faqs/#accordion-content-1607370805670-is-the-msw-available-by-part-time-or-distance-education--,No. The MSW at Toronto Metropolitan Universityis not offered via part-time or distance education. The program is offered on a full-time basis only. Classes are taught face-to-face at TMU.
School of Social Work,Graduate,Master of Social Work,How long is the Master of Social Work program?,https://www.torontomu.ca/social-work/graduate/faqs/#accordion-content-1607370805686-how-long-is-the-program-,"The program is offered on a full-time basis only, and takes one year to complete. This consists of three consecutive terms from September to August."
School of Social Work,Graduate,Master of Social Work,Who will my supervisor be for Master of Social Work program?,https://www.torontomu.ca/social-work/graduate/faqs/#accordion-content-1607370805701-who-will-my-supervisor-be-,Your supervisor will be assigned to you by the graduate program director. We will contact you in September to inform you of who your supervisor will be.
School of Social Work,Graduate,Master of Social Work,Can I apply after the first consideration deadline  for Master of Social Work program?,https://www.torontomu.ca/social-work/graduate/faqs/#accordion-content-1607370805730-can-i-apply-after-the-first-consideration-deadline-,"Yes, we continue to accept applications until the program is filled. However, we give first consideration for scholarships and awards to applicants who applied on or before that deadline. Find out if we are still accepting applications."
School of Social Work,Graduate,Master of Social Work,When will I hear if I’ve been accepted  for Master of Social Work program?,https://www.torontomu.ca/social-work/graduate/faqs/#accordion-content-1607370805745-when-will-i-hear-if-i-ve-been-accepted-,"We will start to notify first consideration applicants of admissions decisions in mid-March, and will continue to notify all applicants of an admissions decision on a rolling basis until all available spots have been filled."
School of Social Work,Graduate,Master of Social Work,How do you calculate my GPA  for Master of Social Work program?,https://www.torontomu.ca/social-work/graduate/faqs/#accordion-content-1607370805760-how-do-you-calculate-my-gpa-,"When assessing your application, the Yeates School of Graduate Studies considers your Cumulative Grade Point Average (CGPA) and the equivalent of your last two years of study. They do not include any college/CEGEP grades in their calculations. Calculate your GPA."
School of Social Work,Graduate,Master of Social Work,What funding is available  for Master of Social Work program?,https://www.torontomu.ca/social-work/graduate/faqs/#accordion-content-1607370805775-what-funding-is-available-,"There are a number of internal and external funding opportunities that can support you to pursue graduate studies. These include scholarships, awards, bursaries, assistantships and more."
School of Social Work,Graduate,Master of Social Work,How much does it cost  for Master of Social Work program?,https://www.torontomu.ca/social-work/graduate/faqs/#accordion-content-1607370805790-how-much-does-it-cost-,"Tuition is calculated on the basis of your program and status (full-time), not on the number of courses that you take per term.

The total minimum fee for a full-time student is based on the minimum time to completion for each program.
Your tuition is a yearly charge, which is broken into three equivalent payments for the three terms in a graduate academic calendar."
School of Social Work,Graduate,Master of Social Work,Is the field placement mandatory  for Master of Social Work program?,https://www.torontomu.ca/social-work/graduate/faqs/#accordion-content-1607370805806-is-the-field-placement-mandatory-,"Yes, the field placement is a mandatory and essential part of the MSW program. Regardless of their previous experience, all students must complete the field placement component."
School of Social Work,Graduate,Master of Social Work,Will I be paid for field placements  for Master of Social Work program?,https://www.torontomu.ca/social-work/graduate/faqs/#accordion-content-1607370805821-will-i-be-paid-for-field-placements--,"No, you will not be paid for field placements. The focus of the field placement is on acquiring advanced practice competencies and experiences in social work practice."
