Department,Sub_Department,Topic,question_name,question_url,question_answer
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,Why did the university conduct a policy review?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1695409465992-why-did-the-university-conduct-a-policy-review-,"The Ministry of Training, Colleges and Universities Act sets out that all universities and colleges are required to review their sexual violence policies periodically and facilitate opportunities for student input. In order to maintain our commitment to excellence and fairness of process, and to comply with the legislative requirements, Toronto Metropolitan University (TMU) kicked off the SVP in October 2023. The Review process concluded in May 2024 following the approval from the Board of Governors on April 30, 2024. The revised SVP is now available on TMU’s Administrative Policies webpage.

The university reviewed the SVP to ensure it continues to reflect an institutional commitment to foster a campus free from sexual violence and promote a culture of consent within our community in a trauma-informed way. The SVP Review involves a consultation process with the TMU community. Students, faculty, contract lecturers and staff will be invited to contribute feedback about the SVP through online surveys and town halls. There will also be feedback sessions with administrators of the SVP and subject-matter experts, faculty, contract lecturer and staff unions, undergraduate and graduate student unions and other stakeholders."
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,What is a policy review?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1695409465999-what-is-a-policy-review-,"A policy review is an opportunity to assess and solicit feedback on an existing policy. 

Led by the SVP Core Advisory Committee, the university invitedTMU community members to participate in two rounds of consultations on the SVP as well as offer their suggestions for how to improve it."
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,Where can I access/read the entire SVP?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1695409466008-where-can-i-access-read-the-entire-svp-,The SVP is available on TMUâ€™s Administrative Policies webpage.
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,How can I participate in the policy review?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1698948032361-how-can-i-participate-in-the-policy-review-,"Phase one, held in fall 2023, engaged the TMU community through an online survey and town hall consultations. Feedback sessions with administrators of the SVP, subject-matter experts, faculty, contract lecturer and staff unions, student unions and other stakeholders were also held. 

Phase two commenced in winter 2024, where TMU community members were invited to review the draft policy and offer feedback through a second online survey. Additional input was gathered through feedback sessions with student and employee unions. 

Thank you to all community members who participated and provided feedback.

The revised policy was finalized and approved by the Board of Governors on April 30, 2024. The revised SVP is now available on TMU’s Administrative Policies webpage."
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,When did consultations take place?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1695409466013-when-did-consultations-take-place-,"Phase one consultations took place in fall 2023, they included an online survey (from October 10 to November 2), town hall consultations (held on October 24) and feedback sessions with administrators and subject-matter experts; faculty, contract lecturer and staff unions; and undergraduate and graduate student unions (from October 23 to November 2). 

The feedback we received in phase one elicited a wide range of ideas and suggestions to improve and enhance the existing policy. 

Phase two commenced in winter 2024, TMU community members were invited to review the draft policy and offer feedback through a second online survey. Additional input was gathered through feedback sessions with student and employee unions. 

The revised policy was finalized and approved by the Board of Governors on April 30, 2024. The revised SVP is now available on TMU’s Administrative Policies webpage.
"
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,Who was involved in the policy review?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1695409466022-who-was-involved-in-the-policy-review-,"As the co-owners of the policy, the Office of the Vice-President, Equity and Community Inclusion, the Office of the Provost and Vice-President, Academic, and the Office of the Vice-President, Administration and Operations led the SVP Review process.

The SVP Review involved a consultation process with TMU students, faculty, contract lecturers and staff, unions and other key stakeholders and subject-matter experts.

The SVP Core Advisory Group reviewed submissions and feedback received through the consultation process. The Core Advisory Group is comprised of staff from units across the university who have strong knowledge of the SVP and its implementation.

Core Advisory Group:

Acting Director, Human Rights Services
Director, Student Care and and Sexual Violence Support
Director, Strategic Partnerships & Labour Relations, Human Resources
Interim Vice-Provost, Faculty Affairs
Legal Counsel, Office of General Counsel and Board Secretariat
Two project managers: 

Policy Review Facilitator, Human Rights Services 
Strategic Projects Liaison, Office of the Vice Provost, Students
One external consultant: 

Policy writer"
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,What did the review involve and focus on?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1695409466027-what-did-the-review-involve-and-focus-on-,"The SVP has been reviewed and updated on a number of occasions since it was first developed. As a result, the 2024 SVP Review identified specific areas of consideration to focus on for the consultations with students, faculty, contract lecturers, staff, unions and other stakeholders."
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,How long did the review take?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1695409466036-how-long-did-the-review-take-,"The SVP Review period began in October 2023 and was completed in May 2024. The revised policy was finalized and approved by the Board of Governors on April 30, 2024. The revised SVP is now available on TMUâ€™s Administrative Policies webpage."
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,Who was consulted?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1695409466042-who-was-consulted-,"Creating a safe, inclusive, respectful and violence-free environment is our collective responsibility. All community members were invited to complete the online survey and participate in town hall consultations in both phase one and phase two. There were also feedback sessions with administrators of the SVP, subject-matter experts, faculty, contract lecturer and staff unions, student unions and other stakeholders."
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,How was the TMU Board of Governors involved?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1695409466048-how-was-the-tmu-board-of-governors-involved-,"The SVP is a Board of Governors Policy that applies to all members of the TMU community. Once the policy was revised, it was reviewed and approved by the Board of Governors on April 30, 2024. The revised SVP is now available on TMUâ€™s Administrative Policies webpage"
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,Will my feedback remain confidential?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1695409466059-will-my-feedback-remain-confidential-,"Yes. All feedback that was gathered as part of the SVP Review will remain confidential and remain anonymous. The intention of the SVP Review was not to discuss any individual cases, but rather offer suggestions for how the policy could be improved."
Sexual Violence Policy,Sexual Violence Policy,Sexual Violence Policy,Where can I go for support?,https://www.torontomu.ca/svp-review/frequently-asked-questions/#accordion-content-1695409466065-where-can-i-go-for-support-,"Participating in conversations about sexual violence may bring up difficult feelings. If you need support, please reach out. 

Students can learn more about services available to them through Consent Comes First, the Centre for Student Development and Counselling and/or the Centre for Safer Sex and Sexual Violence Support.
Faculty, contract lecturers and staff impacted by sexual or gender-based violence can reach out to Workplace Wellbeing Services or access the employee assistance program for resources and counselling. 
External supports include Good2Talk, the Toronto Rape Crisis Centre, LGBT Youth Line, Trans Lifeline and Support Service for Male Survivors of Sexual Assault. 

TMU community members (students, faculty, contract lecturers and staff) who would like report an incident of sexual violence or learn about the options available can contact Human Rights Services at humanrights@torontomu.ca or 416-979-5349."
