Department,Sub_Department,Topic,question_name,question_url,question_answer
Student Financial Assistance,Scholarships and Awards,OSAP,How do I apply for OSAP?,https://www.torontomu.ca/student-financial-assistance/osap/faqs/#accordion-content-1593545723408-how-do-i-apply-for-osap-,"You can apply for the Ontario Student Assistance Program (OSAP) online
(external link, opens in new window)
!
If this is your first time registering for OSAP, you will receive an OSAP Access Number (OAN). Keep this number in a safe placeâ€”you will need it to access your account.
For more information about how to apply for OSAP, check out the How to Apply for OSAP Video
(external link, opens in new window)
and the How to Apply for OSAP guide
(external link, opens in new window)
."
Student Financial Assistance,Scholarships and Awards,OSAP,Why isnâ€™t my OSAP confirmation of enrolment completed?,https://www.torontomu.ca/student-financial-assistance/osap/faqs/#accordion-content-1593545726017-why-isn-t-my-osap-confirmation-of-enrolment-completed-,"Too early to confirm – confirmation of enrolment can be completed within 15 days prior to the study period start date.
Your enrolment on MyServiceHub does not match the course load percentage you indicated on your OSAP application.
Your OSAP application may be incomplete (e.g. missing required documents; documents still under review by our office). Check your OSAP Required Documents page and OSAP Message Centre for status updates.
Too late to confirm – confirmation of enrolment cannot be completed with less than five days remaining in the study period."
Student Financial Assistance,Scholarships and Awards,OSAP,When will I get my OSAP funding?,https://www.torontomu.ca/student-financial-assistance/osap/faqs/#accordion-content-1593545740433-when-will-i-get-my-osap-funding-,"TMU Student Financial Assistance will begin confirming enrolment for TMU undergraduate students who are registered in a full-time course load by the first week of classes each semester.

You will be able to tell that your enrolment has been confirmed by checking the status of your OSAP account. Once your enrolment is confirmed, it takes about 5 to 10 business days for your OSAP funding to be deposited into your MyServiceHub and/or bank account.

If 10 business days have passed since your enrolment was confirmed, and your funding has not been deposited, please contact the National Student Loans Service Centre at 1-888-815-4514."
Student Financial Assistance,Scholarships and Awards,OSAP,Can I get OSAP funding for taking more than a 100% course load?,https://www.torontomu.ca/student-financial-assistance/osap/faqs/#accordion-content-1593545748527-can-i-get-osap-funding-for-taking-more-than-a-100--course-load-,"Potentially! At TMU, full-time undergraduate students registered in five to seven undergraduate billing units (continuing education courses excluded) are assessed at a flat rate. This means that whether you take five, six or seven courses, you are charged the same.

If you are taking eight or more undergraduate billing units, please notify our office—we will adjust your tuition fees on your OSAP application."
Student Financial Assistance,Scholarships and Awards,OSAP,Do I have to redirect my OSAP funding to Toronto Metropolitan University (TMU)?,https://www.torontomu.ca/student-financial-assistance/osap/faqs/#accordion-content-1593545757941-do-i-have-to-redirect-my-osap-funding-to-toronto-metropolitan-university--tmu--,"All OSAP funding will automatically be redirected to your MyServiceHub account to pay tuition and supplementary fees. Any funding left over, if any, will be deposited to your authorized bank account that you chose in your Master Student Financial Assistance Agreement (MSFAA).

Check your MyServiceHub account to make sure your OSAP funds arrive. OSAP didn’t cover all your fees? Remember to pay the outstanding balance.

You cannot choose where your OSAP funding is disbursed to; OSAP policy states that the institution must be paid first, and any left over is then deposited into the student’s bank account.

Want to change your bank account information? Update your banking information online through your National Student Loans Service Centre account."
Student Financial Assistance,Scholarships and Awards,OSAP,What is the status on my OSAP application?,https://www.torontomu.ca/student-financial-assistance/osap/faqs/#accordion-content-1593545766340-what-is-the-status-on-my-osap-application-,"To check the status of your OSAP application:

Log on to your OSAP account and click “Check Status” 
You’ll find out:
If your application has been processed
If you have any outstanding documents you need to provide
If you or your school have to provide information
How much money you’ll get
When your money will be disbursed
Your OSAP message centre also provides information and status updates related to your application. Please check your message centre regularly; you are responsible for monitoring your application and all communications."
Student Financial Assistance,Scholarships and Awards,OSAP,When is my OSAP application and/or documents due?,https://www.torontomu.ca/student-financial-assistance/osap/faqs/#accordion-content-1593545777183-when-is-my-osap-application-and-or-documents-due-,Please review our Important Deadlines and Dates web page for Full-time and Part-time OSAP deadlines.
Student Financial Assistance,Scholarships and Awards,OSAP,Why am I on academic probation for OSAP?,https://www.torontomu.ca/student-financial-assistance/osap/faqs/#accordion-content-1593545786755-why-am-i-on-academic-probation-for-osap-,"Common reasons why students may be placed on OSAP Academic Probation include, but are not limited to:

Not successfully completing a 60% course load each term (40% course load for students with a permanent disability) 
Dropping courses
Withdrawing from full-time studies
Switching programs of study
Switching educational institutions
Extending your studies 
OSAP Academic Probation is not related to your TMU Grade Point Average (GPA) or academic standing. OSAP Academic Probation is different from being placed on academic probation with your program.

Learn more about OSAP Academic Probation."
Student Financial Assistance,Scholarships and Awards,OSAP,When are my tuition fees due?,https://www.torontomu.ca/student-financial-assistance/osap/faqs/#accordion-content-1593545797148-when-are-my-tuition-fees-due-,"At TMU, undergraduate tuition fees are paid on a per semester basis. Fall term fees are due by early September, and winter term fees are due by early January. Visit our Significant Dates page of the Undergraduate Calendar to see when tuition payments are due.

For detailed instructions about paying your tuition through online banking, check out the How to Pay Your Fees page."
Student Financial Assistance,Scholarships and Awards,OSAP,How do I maintain interest-free status on previous student loans?,https://www.torontomu.ca/student-financial-assistance/osap/faqs/#accordion-content-1593545811091-how-do-i-maintain-interest-free-status-on-previous-student-loans--,"If you received full-time OSAP funding in the past, there are two ways you can maintain interest-free status and avoid repayment on your loans:  

Apply for Continuation of Interest-Free Status. If you are still in full-time studies (or on an approved co-op work term), and are not receiving OSAP, you can complete the Continuation of Interest-Free Status by logging on to your OSAP account.
Receive full-time OSAP funding. When we confirm your enrolment to receive OSAP, the National Student Loans Service Centre will be notified that you are still in full-time studies."
