Department,Sub_Department,Topic,question_name,question_url,question_answer
Ted Rogers School of Management,MBA,MBA,Does Toronto Metropolitan provide any resources for student health and wellbeing?,https://www.torontomu.ca/mba/contact-faq/#accordion-content-1616079490972-does-toronto-metropolitan-provide-any-resources-for-student-health-and-wellbeing-,"Yes. Mental health counselling, medical support and equity services are among the many mental health and wellbeing resources the university offers to our students."
Ted Rogers School of Management,MBA,Tuition,How does the Ted Rogers MBA program keep tuition so affordable?,https://www.torontomu.ca/mba/contact-faq/#accordion-content-1482338560180-how-does-the-ted-rogers-mba-program-keep-tuition-so-affordable-,"One of Toronto Metropolitan University's mandates is to provide accessible education.

The Ted Rogers MBA tuition is subsidized by the Ministry of Training, Colleges and Universities in Ontario, which allows us to keep our tuition affordable."
Ted Rogers School of Management,MBA,Tuition,Are there extra tuition fees for Foundation courses of  Ted Rogers MBA program?,https://www.torontomu.ca/mba/contact-faq/#accordion-content-1482338560956-are-there-extra-tuition-fees-for-foundation-courses--,"Yes. Each Foundation course costs the equivalent of one MBA credit.

For more information please refer to Graduate Tuition Fees."
Ted Rogers School of Management,MBA,Grades and Transcripts,Will courses completed after an undergraduate degree be considered as part of the application for Ted Rogers MBA program?,https://www.torontomu.ca/mba/contact-faq/#accordion-content-1493066491966-will-courses-completed-after-an-undergraduate-degree-be-considered-as-part-of-the-application-,"If you are currently enrolled in or have completed university-level courses after your undergraduate degree, these courses can be included in the assessment of your application; however, your GPA will remain the same."
Ted Rogers School of Management,MBA,Grades and Transcripts,Do I need official transcripts in order to apply  for Ted Rogers MBA program?,https://www.torontomu.ca/mba/contact-faq/#accordion-content-1493066493011-do-i-need-official-transcripts-in-order-to-apply-,"Unofficial transcripts will be accepted for evaluation purposes. Official transcripts will only be required if an Offer of Admission is issued.

For more information please refer to the Graduate School website."
Ted Rogers School of Management,MBA,Grades and Transcripts,"I have been given an Offer of Admission, how do I submit official transcripts  for Ted Rogers MBA program?",https://www.torontomu.ca/mba/contact-faq/#accordion-content-1493066493462-i-have-been-given-an-offer-of-admission--how-do-i-submit-official-transcripts-,Visit the Graduate Admissions office page for more information on submitting official transcripts.
Ted Rogers School of Management,MBA,Grades and Transcripts,My transcripts are in a language other than English; do I require an English translation?,https://www.torontomu.ca/mba/contact-faq/#accordion-content-1493066494059-my-transcripts-are-in-a-language-other-than-english--do-i-require-an-english-translation-,"If your transcripts/documents are in a language other than English, you must provide a notarized English translation. Please note translations do not replace original documentation; both versions must be submitted.

For more information please refer to the Graduate School website."
Ted Rogers School of Management,MBA,Grades and Transcripts,"I wish to transfer from another Masterâ€™s program, would I be eligible for transfer credits  for Ted Rogers MBA program?",https://www.torontomu.ca/mba/contact-faq/#accordion-content-1493066494609-i-wish-to-transfer-from-another-master-s-program--would-i-be-eligible-for-transfer-credits-,"As a Yeates School of Graduate and Postdoctoral Studies student you are eligible to apply for transfer credits if you have completed graduate-level coursework but have not been awarded a graduate degree.

Transfer credits must be requested at the time of application. Before applying for transfer credits see your program administrator. Your program administrator will help you apply for the transfer credit. 

Approved transfer credits will be posted to your Transfer Credit Report on MyServiceHub (my.torontomu.ca.)"
Ted Rogers School of Management,MBA,Grades and Transcripts,What should I do about my in-person GMAT/GRE test cancellation  for Ted Rogers MBA program?,https://www.torontomu.ca/mba/contact-faq/#accordion-content-1606490785992-what-should-i-do-about-my-in-person-gmat-gre-test-cancellation--,We recommend you research what online test options are available to you. Visit the GMAT and GRE sites to review online test availability.
Ted Rogers School of Management,MBA,Careers,"As a currently employed part-time student, how can the Graduate Careers Team help me  for Ted Rogers MBA program?",https://www.torontomu.ca/mba/contact-faq/#accordion-content-1493066420493-as-a-currently-employed-part-time-student--how-can-the-graduate-careers-team-help-me-,"As a part-time student, you are entitled to all of the services the MBA Careers Team offers. While you may currently be employed, the services extend past MBA graduation. If you are ever looking to make a career transition, or need help negotiating your salary, work expectations, etc., the MBA Careers Team can help."
